fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,7.4,292,26,0.0 
25/4/2021 03:00,7.0,308,21,0.0 
25/4/2021 06:00,6.0,311,13,0.0 
25/4/2021 09:00,5.8,318,11,0.0 
25/4/2021 12:00,9.3,281,18,0.0 
25/4/2021 15:00,11.1,288,27,0.0 
25/4/2021 18:00,11.5,278,27,0.0 
25/4/2021 21:00,8.7,292,28,0.0 
26/4/2021 00:00,8.5,292,28,0.0 
26/4/2021 03:00,8.2,286,26,0.0 
26/4/2021 06:00,6.9,331,13,0.0 
26/4/2021 09:00,6.6,325,5,0.0 
26/4/2021 12:00,10.3,295,14,0.0 
26/4/2021 15:00,13.0,305,21,0.0 
26/4/2021 18:00,12.1,291,15,0.0 
26/4/2021 21:00,9.7,300,13,0.0 
27/4/2021 00:00,9.5,320,17,0.0 
27/4/2021 03:00,10.5,303,21,0.0 
27/4/2021 06:00,9.8,300,16,0.0 
27/4/2021 09:00,12.1,308,32,0.0 
27/4/2021 12:00,15.3,289,31,0.0 
27/4/2021 15:00,13.4,282,36,0.0 
27/4/2021 18:00,10.7,280,37,0.0 
27/4/2021 21:00,9.8,278,48,0.0 
28/4/2021 00:00,8.0,285,39,0.0 
28/4/2021 03:00,7.6,298,27,0.0 
28/4/2021 06:00,6.2,312,19,0.0 
28/4/2021 09:00,5.6,340,8,0.0 
28/4/2021 12:00,8.0,329,7,0.0 
28/4/2021 15:00,7.7,271,8,0.0 
28/4/2021 18:00,7.1,223,6,0.0 
28/4/2021 21:00,7.2,268,5,0.0 
29/4/2021 00:00,7.4,284,6,0.0 
29/4/2021 03:00,10.0,297,16,0.0 
29/4/2021 06:00,11.2,338,29,0.0 
29/4/2021 09:00,11.7,325,32,0.0 
29/4/2021 12:00,14.3,311,34,0.0 
29/4/2021 15:00,12.7,306,27,0.0 
29/4/2021 18:00,8.8,291,15,0.4 
29/4/2021 21:00,8.4,298,21,0.2 
