fecha,temp,vientodir,vientokm,precip
13/4/2021 00:00,12.6,2,14,0.0 
13/4/2021 03:00,11.7,354,14,0.0 
13/4/2021 06:00,10.9,1,12,0.0 
13/4/2021 09:00,13.1,7,11,0.0 
13/4/2021 12:00,19.8,347,18,0.0 
13/4/2021 15:00,21.9,354,20,0.0 
13/4/2021 18:00,18.7,9,17,0.0 
13/4/2021 21:00,13.7,26,16,0.0 
14/4/2021 00:00,12.5,21,19,0.0 
14/4/2021 03:00,11.5,15,20,0.0 
14/4/2021 06:00,10.3,15,21,0.0 
14/4/2021 09:00,12.1,10,26,0.0 
14/4/2021 12:00,18.1,3,32,0.0 
14/4/2021 15:00,20.1,356,30,0.0 
14/4/2021 18:00,18.0,357,23,0.0 
14/4/2021 21:00,13.8,13,17,0.0 
15/4/2021 00:00,13.2,16,20,0.0 
15/4/2021 03:00,12.4,0,18,0.0 
15/4/2021 06:00,11.8,353,15,0.0 
15/4/2021 09:00,14.0,338,14,0.0 
15/4/2021 12:00,21.0,302,13,0.0 
15/4/2021 15:00,24.2,279,9,0.0 
15/4/2021 18:00,21.1,301,6,0.0 
15/4/2021 21:00,16.2,3,10,0.0 
16/4/2021 00:00,15.0,8,11,0.0 
16/4/2021 03:00,14.3,6,9,0.0 
16/4/2021 06:00,13.8,16,8,0.0 
16/4/2021 09:00,15.8,22,9,0.0 
16/4/2021 12:00,21.2,6,12,0.0 
16/4/2021 15:00,23.6,2,8,0.0 
16/4/2021 18:00,20.6,5,11,0.0 
16/4/2021 21:00,16.3,25,12,0.0 
17/4/2021 00:00,14.8,38,12,0.0 
17/4/2021 03:00,14.1,39,12,0.0 
17/4/2021 06:00,13.5,34,13,0.0 
17/4/2021 09:00,15.3,34,16,0.0 
17/4/2021 12:00,20.8,23,21,0.0 
17/4/2021 15:00,22.6,14,20,0.0 
17/4/2021 18:00,19.8,20,17,0.0 
17/4/2021 21:00,16.4,34,18,0.0 
