fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,12.0,224,10,0.0 
25/4/2021 03:00,11.0,196,9,0.0 
25/4/2021 06:00,9.7,178,8,0.0 
25/4/2021 09:00,11.3,170,7,0.0 
25/4/2021 12:00,17.1,140,7,0.0 
25/4/2021 15:00,19.9,106,7,0.0 
25/4/2021 18:00,18.4,99,10,0.0 
25/4/2021 21:00,11.8,69,10,0.0 
26/4/2021 00:00,10.3,24,7,0.0 
26/4/2021 03:00,9.3,9,8,0.0 
26/4/2021 06:00,8.6,17,8,0.0 
26/4/2021 09:00,10.6,14,8,0.0 
26/4/2021 12:00,17.2,21,14,0.0 
26/4/2021 15:00,20.4,27,15,0.0 
26/4/2021 18:00,18.4,41,15,0.0 
26/4/2021 21:00,12.6,29,12,0.0 
27/4/2021 00:00,10.8,10,11,0.0 
27/4/2021 03:00,9.8,12,10,0.0 
27/4/2021 06:00,9.2,12,9,0.0 
27/4/2021 09:00,11.3,7,10,0.0 
27/4/2021 12:00,18.8,16,18,0.0 
27/4/2021 15:00,21.8,24,20,0.0 
27/4/2021 18:00,19.0,38,18,0.0 
27/4/2021 21:00,13.5,19,12,0.0 
28/4/2021 00:00,11.7,20,11,0.0 
28/4/2021 03:00,10.9,11,10,0.0 
28/4/2021 06:00,10.0,13,9,0.0 
28/4/2021 09:00,12.1,9,10,0.0 
28/4/2021 12:00,19.8,20,18,0.0 
28/4/2021 15:00,22.9,28,18,0.0 
28/4/2021 18:00,20.2,39,17,0.0 
28/4/2021 21:00,14.0,31,12,0.0 
29/4/2021 00:00,12.3,11,12,0.0 
29/4/2021 03:00,11.4,27,12,0.0 
29/4/2021 06:00,10.5,13,12,0.0 
29/4/2021 09:00,12.1,17,14,0.0 
29/4/2021 12:00,20.0,22,24,0.0 
29/4/2021 15:00,21.9,26,25,0.0 
29/4/2021 18:00,19.2,34,22,0.0 
29/4/2021 21:00,13.2,26,13,0.0 
