fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,18.2,120,3,0.0 
4/4/2021 03:00,17.2,74,3,0.0 
4/4/2021 06:00,16.7,58,4,0.0 
4/4/2021 09:00,21.7,38,7,0.0 
4/4/2021 12:00,28.6,11,6,0.0 
4/4/2021 15:00,29.5,344,7,0.0 
4/4/2021 18:00,24.9,250,1,0.0 
4/4/2021 21:00,21.0,132,4,0.0 
5/4/2021 00:00,19.7,122,3,0.0 
5/4/2021 03:00,19.1,67,3,0.0 
5/4/2021 06:00,18.4,63,5,0.0 
5/4/2021 09:00,19.5,13,4,0.6 
5/4/2021 12:00,20.6,322,2,0.8 
5/4/2021 15:00,20.7,332,5,0.4 
5/4/2021 18:00,18.1,59,9,5.4 
5/4/2021 21:00,17.3,126,1,0.7 
6/4/2021 00:00,17.1,122,1,0.1 
6/4/2021 03:00,16.9,89,4,0.1 
6/4/2021 06:00,17.1,80,2,0.2 
6/4/2021 09:00,18.6,36,6,0.0 
6/4/2021 12:00,22.3,51,7,0.6 
6/4/2021 15:00,21.8,66,7,2.2 
6/4/2021 18:00,21.1,116,5,0.4 
6/4/2021 21:00,17.1,102,5,0.0 
7/4/2021 00:00,16.4,108,5,0.0 
7/4/2021 03:00,15.5,109,5,0.0 
7/4/2021 06:00,15.2,75,4,0.0 
7/4/2021 09:00,20.3,41,5,0.0 
7/4/2021 12:00,26.8,34,9,0.0 
7/4/2021 15:00,29.3,31,7,0.0 
7/4/2021 18:00,23.8,68,5,0.0 
7/4/2021 21:00,22.3,86,4,0.0 
8/4/2021 00:00,21.3,58,5,0.0 
8/4/2021 03:00,19.4,47,4,0.0 
8/4/2021 06:00,18.5,46,7,0.0 
8/4/2021 09:00,22.0,41,11,0.0 
8/4/2021 12:00,27.5,28,11,0.0 
8/4/2021 15:00,30.2,17,7,0.0 
8/4/2021 18:00,25.4,4,4,0.0 
8/4/2021 21:00,20.8,67,3,0.0 
