fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,9.3,354,16,0.0 
25/4/2021 03:00,8.8,348,12,0.0 
25/4/2021 06:00,8.7,302,11,0.0 
25/4/2021 09:00,8.5,331,17,0.0 
25/4/2021 12:00,13.3,326,33,0.0 
25/4/2021 15:00,15.8,316,38,0.0 
25/4/2021 18:00,14.1,323,27,0.0 
25/4/2021 21:00,10.9,340,21,0.0 
26/4/2021 00:00,10.2,329,20,0.0 
26/4/2021 03:00,10.0,318,18,0.0 
26/4/2021 06:00,8.3,325,17,0.0 
26/4/2021 09:00,8.2,312,16,0.0 
26/4/2021 12:00,14.2,317,22,0.0 
26/4/2021 15:00,18.4,304,26,0.0 
26/4/2021 18:00,16.3,309,28,0.0 
26/4/2021 21:00,13.5,312,34,0.0 
27/4/2021 00:00,12.7,319,36,0.0 
27/4/2021 03:00,13.5,322,44,0.0 
27/4/2021 06:00,14.8,317,45,0.0 
27/4/2021 09:00,15.5,311,60,0.0 
27/4/2021 12:00,17.2,314,57,0.0 
27/4/2021 15:00,19.5,319,62,0.0 
27/4/2021 18:00,19.9,314,64,0.0 
27/4/2021 21:00,16.5,270,44,0.0 
28/4/2021 00:00,13.7,264,41,0.0 
28/4/2021 03:00,10.7,276,20,0.0 
28/4/2021 06:00,10.3,285,18,0.0 
28/4/2021 09:00,9.9,299,15,0.0 
28/4/2021 12:00,14.7,301,22,0.0 
28/4/2021 15:00,16.8,301,24,0.0 
28/4/2021 18:00,11.9,310,17,0.0 
28/4/2021 21:00,11.8,73,10,0.1 
29/4/2021 00:00,11.1,44,13,0.0 
29/4/2021 03:00,14.0,305,25,0.0 
29/4/2021 06:00,15.0,311,40,0.0 
29/4/2021 09:00,15.2,309,42,0.0 
29/4/2021 12:00,17.6,305,50,0.0 
29/4/2021 15:00,19.6,299,51,0.0 
29/4/2021 18:00,18.0,299,44,0.0 
29/4/2021 21:00,16.0,310,31,0.0 
