fecha,temp,vientodir,vientokm,precip
26/4/2021 00:00,9.7,173,10,0.0 
26/4/2021 03:00,8.6,180,10,0.0 
26/4/2021 06:00,8.1,194,9,0.0 
26/4/2021 09:00,10.7,191,8,0.0 
26/4/2021 12:00,15.9,203,11,0.0 
26/4/2021 15:00,17.5,218,11,0.0 
26/4/2021 18:00,14.0,191,7,0.0 
26/4/2021 21:00,11.4,165,5,0.0 
27/4/2021 00:00,10.3,145,2,0.0 
27/4/2021 03:00,9.5,229,2,0.0 
27/4/2021 06:00,8.9,259,5,0.0 
27/4/2021 09:00,11.7,267,4,0.0 
27/4/2021 12:00,17.0,274,7,0.0 
27/4/2021 15:00,18.7,285,7,0.0 
27/4/2021 18:00,14.7,294,5,0.0 
27/4/2021 21:00,12.1,32,7,0.0 
28/4/2021 00:00,10.6,357,9,0.0 
28/4/2021 03:00,10.1,318,9,0.0 
28/4/2021 06:00,9.6,310,8,0.0 
28/4/2021 09:00,12.5,306,7,0.0 
28/4/2021 12:00,18.4,309,14,0.0 
28/4/2021 15:00,20.2,293,14,0.0 
28/4/2021 18:00,15.9,286,7,0.0 
28/4/2021 21:00,13.3,311,8,0.0 
29/4/2021 00:00,11.8,335,10,0.0 
29/4/2021 03:00,10.9,311,8,0.0 
29/4/2021 06:00,10.4,314,10,0.0 
29/4/2021 09:00,12.8,318,9,0.0 
29/4/2021 12:00,19.0,329,13,0.0 
29/4/2021 15:00,21.0,337,14,0.0 
29/4/2021 18:00,15.8,2,13,0.0 
29/4/2021 21:00,12.0,10,12,0.0 
30/4/2021 00:00,11.5,17,12,0.0 
30/4/2021 03:00,11.2,4,12,0.0 
30/4/2021 06:00,10.2,5,12,0.0 
30/4/2021 09:00,12.9,7,12,0.0 
30/4/2021 12:00,19.5,357,19,0.0 
30/4/2021 15:00,21.0,360,19,0.0 
30/4/2021 18:00,15.5,33,13,0.0 
30/4/2021 21:00,13.1,38,12,0.0 
