fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,16.9,109,11,0.0 
4/4/2021 03:00,16.1,97,10,0.0 
4/4/2021 06:00,15.2,103,11,0.0 
4/4/2021 09:00,18.3,80,10,0.0 
4/4/2021 12:00,24.3,44,12,0.0 
4/4/2021 15:00,25.1,68,12,0.0 
4/4/2021 18:00,25.2,85,10,0.0 
4/4/2021 21:00,20.1,101,12,0.0 
5/4/2021 00:00,20.5,101,11,0.0 
5/4/2021 03:00,18.3,93,11,0.0 
5/4/2021 06:00,17.5,76,10,0.0 
5/4/2021 09:00,19.9,44,12,0.0 
5/4/2021 12:00,20.4,25,8,0.0 
5/4/2021 15:00,24.7,359,6,1.2 
5/4/2021 18:00,24.7,45,15,0.0 
5/4/2021 21:00,18.6,40,10,0.0 
6/4/2021 00:00,17.4,38,9,0.0 
6/4/2021 03:00,17.4,19,9,0.0 
6/4/2021 06:00,17.2,23,8,0.0 
6/4/2021 09:00,19.9,28,7,0.0 
6/4/2021 12:00,26.0,57,13,0.0 
6/4/2021 15:00,28.1,52,17,0.0 
6/4/2021 18:00,26.6,53,13,0.0 
6/4/2021 21:00,21.6,61,7,0.0 
7/4/2021 00:00,19.6,16,12,0.0 
7/4/2021 03:00,18.2,12,11,0.0 
7/4/2021 06:00,17.4,29,11,0.0 
7/4/2021 09:00,21.1,32,17,0.0 
7/4/2021 12:00,26.8,36,23,0.0 
7/4/2021 15:00,29.2,36,22,0.0 
7/4/2021 18:00,27.4,38,14,0.0 
7/4/2021 21:00,21.6,37,13,0.0 
8/4/2021 00:00,20.1,33,12,0.0 
8/4/2021 03:00,19.6,30,14,0.0 
8/4/2021 06:00,18.2,32,12,0.0 
8/4/2021 09:00,21.4,23,17,0.0 
8/4/2021 12:00,27.6,4,25,0.0 
8/4/2021 15:00,30.5,1,24,0.0 
8/4/2021 18:00,28.7,357,18,0.0 
8/4/2021 21:00,23.0,25,13,0.0 
