fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,14.4,204,10,0.0 
25/4/2021 03:00,13.7,201,8,0.0 
25/4/2021 06:00,12.6,201,9,0.0 
25/4/2021 09:00,15.0,176,13,0.0 
25/4/2021 12:00,20.0,172,13,0.0 
25/4/2021 15:00,20.9,189,13,0.0 
25/4/2021 18:00,16.7,170,8,0.0 
25/4/2021 21:00,12.2,176,9,0.0 
26/4/2021 00:00,10.4,162,8,0.0 
26/4/2021 03:00,9.3,164,7,0.0 
26/4/2021 06:00,8.6,155,6,0.0 
26/4/2021 09:00,12.2,139,6,0.0 
26/4/2021 12:00,18.3,133,7,0.0 
26/4/2021 15:00,19.8,122,8,0.0 
26/4/2021 18:00,16.8,121,2,0.0 
26/4/2021 21:00,12.8,159,3,0.0 
27/4/2021 00:00,12.1,151,3,0.0 
27/4/2021 03:00,11.0,178,4,0.0 
27/4/2021 06:00,10.5,136,4,0.0 
27/4/2021 09:00,13.8,117,7,0.0 
27/4/2021 12:00,19.9,101,8,0.0 
27/4/2021 15:00,21.6,108,7,0.0 
27/4/2021 18:00,17.5,129,7,0.0 
27/4/2021 21:00,14.0,137,6,0.0 
28/4/2021 00:00,12.5,106,4,0.0 
28/4/2021 03:00,11.5,117,5,0.0 
28/4/2021 06:00,10.6,111,5,0.0 
28/4/2021 09:00,14.2,99,6,0.0 
28/4/2021 12:00,20.5,100,8,0.0 
28/4/2021 15:00,22.1,115,9,0.0 
28/4/2021 18:00,17.8,130,4,0.0 
28/4/2021 21:00,13.6,122,6,0.0 
29/4/2021 00:00,12.9,100,5,0.0 
29/4/2021 03:00,11.5,115,5,0.0 
29/4/2021 06:00,10.3,97,4,0.0 
29/4/2021 09:00,13.6,105,7,0.0 
29/4/2021 12:00,20.2,87,10,0.0 
29/4/2021 15:00,22.3,93,9,0.0 
29/4/2021 18:00,17.7,100,5,0.0 
29/4/2021 21:00,13.8,75,5,0.0 
