fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,18.0,122,6,0.0 
4/4/2021 03:00,18.4,143,6,0.0 
4/4/2021 06:00,18.2,148,7,0.0 
4/4/2021 09:00,19.8,90,6,0.0 
4/4/2021 12:00,23.3,87,7,0.0 
4/4/2021 15:00,28.9,72,5,0.0 
4/4/2021 18:00,25.3,116,6,0.0 
4/4/2021 21:00,22.9,108,6,0.0 
5/4/2021 00:00,21.4,94,7,0.0 
5/4/2021 03:00,19.6,76,10,1.1 
5/4/2021 06:00,19.1,102,5,3.1 
5/4/2021 09:00,20.7,76,10,3.5 
5/4/2021 12:00,19.8,74,10,2.2 
5/4/2021 15:00,20.7,64,11,2.6 
5/4/2021 18:00,19.7,79,15,6.2 
5/4/2021 21:00,18.7,63,17,12.9 
6/4/2021 00:00,17.5,43,5,2.4 
6/4/2021 03:00,17.7,109,8,0.0 
6/4/2021 06:00,18.1,122,6,0.0 
6/4/2021 09:00,19.5,92,8,0.0 
6/4/2021 12:00,25.5,78,8,0.0 
6/4/2021 15:00,27.4,74,10,0.0 
6/4/2021 18:00,23.8,112,8,0.0 
6/4/2021 21:00,20.0,95,9,0.0 
7/4/2021 00:00,18.5,77,5,0.0 
7/4/2021 03:00,17.5,66,5,0.0 
7/4/2021 06:00,17.2,106,8,0.0 
7/4/2021 09:00,20.8,62,10,0.0 
7/4/2021 12:00,26.2,41,12,0.0 
7/4/2021 15:00,27.6,50,11,0.0 
7/4/2021 18:00,25.0,68,9,0.0 
7/4/2021 21:00,21.2,50,8,0.0 
8/4/2021 00:00,19.8,56,8,0.0 
8/4/2021 03:00,19.0,61,8,0.0 
8/4/2021 06:00,18.4,63,8,0.0 
8/4/2021 09:00,21.4,44,10,0.0 
8/4/2021 12:00,28.9,25,16,0.0 
8/4/2021 15:00,30.7,31,16,0.0 
8/4/2021 18:00,26.4,51,13,0.0 
8/4/2021 21:00,23.4,64,8,0.0 
