fecha,temp,vientodir,vientokm,precip
13/4/2021 00:00,16.8,344,19,0.0 
13/4/2021 03:00,15.4,343,17,0.0 
13/4/2021 06:00,14.6,340,14,0.0 
13/4/2021 09:00,16.5,337,14,0.0 
13/4/2021 12:00,24.3,333,20,0.0 
13/4/2021 15:00,27.7,345,21,0.0 
13/4/2021 18:00,25.0,2,21,0.0 
13/4/2021 21:00,18.6,4,21,0.0 
14/4/2021 00:00,16.1,358,21,0.0 
14/4/2021 03:00,14.9,356,23,0.0 
14/4/2021 06:00,13.5,0,21,0.0 
14/4/2021 09:00,14.3,1,27,0.0 
14/4/2021 12:00,21.7,351,36,0.0 
14/4/2021 15:00,25.2,343,34,0.0 
14/4/2021 18:00,24.3,352,27,0.0 
14/4/2021 21:00,19.8,356,30,0.0 
15/4/2021 00:00,18.2,340,29,0.0 
15/4/2021 03:00,16.9,336,27,0.0 
15/4/2021 06:00,14.7,300,13,0.0 
15/4/2021 09:00,16.0,214,10,0.0 
15/4/2021 12:00,23.1,160,16,0.0 
15/4/2021 15:00,25.5,132,10,0.0 
15/4/2021 18:00,24.0,87,7,0.0 
15/4/2021 21:00,18.4,75,15,0.0 
16/4/2021 00:00,15.5,64,12,0.0 
16/4/2021 03:00,15.0,43,9,0.0 
16/4/2021 06:00,15.3,358,9,0.0 
16/4/2021 09:00,17.7,351,7,0.0 
16/4/2021 12:00,23.4,347,7,0.0 
16/4/2021 15:00,26.2,29,7,0.0 
16/4/2021 18:00,25.4,41,11,0.0 
16/4/2021 21:00,21.8,41,15,0.0 
17/4/2021 00:00,18.9,57,12,0.0 
17/4/2021 03:00,16.6,60,7,0.0 
17/4/2021 06:00,15.6,17,9,0.0 
17/4/2021 09:00,17.3,15,12,0.0 
17/4/2021 12:00,23.6,357,19,0.0 
17/4/2021 15:00,26.4,2,22,0.0 
17/4/2021 18:00,24.4,10,19,0.0 
17/4/2021 21:00,20.5,10,19,0.0 
