fecha,temp,vientodir,vientokm,precip
13/4/2021 00:00,11.4,359,14,0.0 
13/4/2021 03:00,10.5,350,14,0.0 
13/4/2021 06:00,9.8,347,13,0.0 
13/4/2021 09:00,12.7,357,12,0.0 
13/4/2021 12:00,20.9,23,19,0.0 
13/4/2021 15:00,23.3,33,22,0.0 
13/4/2021 18:00,20.5,41,21,0.0 
13/4/2021 21:00,13.6,31,16,0.0 
14/4/2021 00:00,12.8,10,20,0.0 
14/4/2021 03:00,12.4,7,20,0.0 
14/4/2021 06:00,11.8,14,18,0.0 
14/4/2021 09:00,14.1,16,22,0.0 
14/4/2021 12:00,21.2,13,28,0.0 
14/4/2021 15:00,24.1,22,23,0.0 
14/4/2021 18:00,22.0,41,19,0.0 
14/4/2021 21:00,15.5,26,14,0.0 
15/4/2021 00:00,14.2,8,15,0.0 
15/4/2021 03:00,13.8,343,12,0.0 
15/4/2021 06:00,14.0,312,7,0.0 
15/4/2021 09:00,17.1,187,3,0.0 
15/4/2021 12:00,23.8,174,7,0.0 
15/4/2021 15:00,26.2,121,7,0.0 
15/4/2021 18:00,24.0,73,15,0.0 
15/4/2021 21:00,17.1,42,12,0.0 
16/4/2021 00:00,15.6,11,11,0.0 
16/4/2021 03:00,15.3,6,10,0.0 
16/4/2021 06:00,15.0,6,11,0.0 
16/4/2021 09:00,17.7,351,10,0.0 
16/4/2021 12:00,24.5,40,13,0.0 
16/4/2021 15:00,26.8,81,14,0.0 
16/4/2021 18:00,24.1,83,18,0.0 
16/4/2021 21:00,18.7,59,15,0.0 
17/4/2021 00:00,16.8,32,12,0.4 
17/4/2021 03:00,16.4,30,13,0.0 
17/4/2021 06:00,15.8,27,13,0.0 
17/4/2021 09:00,17.5,20,17,0.0 
17/4/2021 12:00,23.2,25,21,0.0 
17/4/2021 15:00,25.2,33,21,0.0 
17/4/2021 18:00,23.1,52,19,0.0 
17/4/2021 21:00,19.0,38,19,0.0 
