fecha,temp,vientodir,vientokm,precip
26/4/2021 00:00,10.1,326,15,0.0 
26/4/2021 03:00,11.9,301,24,0.0 
26/4/2021 06:00,9.0,305,18,0.0 
26/4/2021 09:00,8.6,276,14,0.0 
26/4/2021 12:00,10.5,26,8,0.0 
26/4/2021 15:00,16.6,318,34,0.0 
26/4/2021 18:00,15.0,332,36,0.0 
26/4/2021 21:00,13.4,325,29,0.0 
27/4/2021 00:00,10.3,287,15,0.0 
27/4/2021 03:00,8.3,178,5,0.0 
27/4/2021 06:00,9.0,117,11,0.0 
27/4/2021 09:00,7.3,130,17,0.0 
27/4/2021 12:00,9.7,145,17,0.0 
27/4/2021 15:00,10.7,59,8,0.0 
27/4/2021 18:00,10.2,286,11,0.0 
27/4/2021 21:00,8.8,294,19,0.3 
28/4/2021 00:00,6.0,288,17,0.0 
28/4/2021 03:00,6.7,286,33,0.0 
28/4/2021 06:00,7.4,267,49,0.0 
28/4/2021 09:00,6.3,267,49,0.0 
28/4/2021 12:00,8.4,265,52,0.0 
28/4/2021 15:00,9.3,261,60,0.0 
28/4/2021 18:00,7.3,256,53,0.0 
28/4/2021 21:00,6.2,262,37,0.0 
29/4/2021 00:00,4.8,293,18,0.0 
29/4/2021 03:00,4.4,277,12,0.0 
29/4/2021 06:00,4.7,306,10,0.0 
29/4/2021 09:00,5.4,357,15,0.0 
29/4/2021 12:00,6.9,22,17,0.7 
29/4/2021 15:00,6.2,58,22,1.8 
29/4/2021 18:00,6.4,69,17,0.9 
29/4/2021 21:00,6.4,83,10,0.0 
30/4/2021 00:00,6.2,112,6,0.0 
30/4/2021 03:00,6.2,237,9,0.2 
30/4/2021 06:00,5.2,235,19,0.2 
30/4/2021 09:00,3.2,240,23,0.0 
30/4/2021 12:00,5.8,236,26,0.0 
30/4/2021 15:00,7.9,246,24,0.0 
30/4/2021 18:00,5.7,203,16,0.0 
30/4/2021 21:00,3.9,182,16,0.0 
