fecha,temp,vientodir,vientokm,precip
13/4/2021 00:00,7.7,290,58,0.4 
13/4/2021 03:00,6.8,283,65,0.0 
13/4/2021 06:00,6.2,270,68,0.0 
13/4/2021 09:00,5.5,261,52,0.0 
13/4/2021 12:00,7.4,258,29,0.0 
13/4/2021 15:00,8.0,335,33,0.0 
13/4/2021 18:00,7.5,9,29,0.1 
13/4/2021 21:00,7.5,28,48,4.9 
14/4/2021 00:00,9.3,3,53,0.2 
14/4/2021 03:00,10.8,301,50,0.2 
14/4/2021 06:00,6.7,273,50,0.1 
14/4/2021 09:00,5.6,271,60,0.0 
14/4/2021 12:00,6.5,285,49,0.0 
14/4/2021 15:00,7.6,292,48,0.0 
14/4/2021 18:00,7.1,295,52,0.0 
14/4/2021 21:00,6.2,294,47,0.0 
15/4/2021 00:00,5.8,300,45,0.0 
15/4/2021 03:00,5.8,308,42,0.0 
15/4/2021 06:00,5.8,313,20,0.2 
15/4/2021 09:00,7.2,296,40,0.0 
15/4/2021 12:00,9.0,313,34,0.0 
15/4/2021 15:00,9.0,352,35,0.0 
15/4/2021 18:00,8.9,355,41,0.0 
15/4/2021 21:00,9.1,308,57,1.8 
16/4/2021 00:00,5.8,296,53,0.0 
16/4/2021 03:00,5.9,284,56,0.0 
16/4/2021 06:00,5.5,270,54,0.5 
16/4/2021 09:00,5.8,269,50,0.0 
16/4/2021 12:00,7.2,280,47,0.0 
16/4/2021 15:00,7.7,290,42,0.0 
16/4/2021 18:00,9.0,299,39,0.0 
16/4/2021 21:00,8.2,302,30,0.0 
17/4/2021 00:00,7.4,314,24,0.0 
17/4/2021 03:00,6.9,311,20,0.0 
17/4/2021 06:00,7.0,318,15,0.0 
17/4/2021 09:00,7.1,347,9,0.0 
17/4/2021 12:00,8.7,357,17,0.0 
17/4/2021 15:00,8.9,348,22,0.0 
17/4/2021 18:00,8.2,354,18,0.0 
17/4/2021 21:00,8.1,8,17,0.0 
