fecha,temp,vientodir,vientokm,precip
13/4/2021 00:00,16.9,120,10,0.0 
13/4/2021 03:00,15.6,138,7,0.0 
13/4/2021 06:00,17.5,132,6,0.0 
13/4/2021 09:00,18.8,146,4,0.0 
13/4/2021 12:00,23.6,126,4,0.0 
13/4/2021 15:00,26.5,68,6,0.0 
13/4/2021 18:00,25.9,85,10,0.0 
13/4/2021 21:00,22.8,75,10,0.0 
14/4/2021 00:00,21.9,251,8,0.0 
14/4/2021 03:00,21.3,87,11,0.0 
14/4/2021 06:00,17.9,72,3,0.0 
14/4/2021 09:00,20.3,52,9,0.0 
14/4/2021 12:00,25.8,6,12,0.0 
14/4/2021 15:00,30.9,4,21,0.0 
14/4/2021 18:00,30.4,353,22,0.0 
14/4/2021 21:00,24.9,237,0,0.0 
15/4/2021 00:00,24.4,182,12,0.0 
15/4/2021 03:00,23.8,177,8,0.0 
15/4/2021 06:00,23.1,114,9,0.0 
15/4/2021 09:00,23.5,26,9,0.0 
15/4/2021 12:00,25.2,342,10,0.0 
15/4/2021 15:00,29.3,330,5,0.0 
15/4/2021 18:00,31.8,330,7,0.0 
15/4/2021 21:00,24.2,224,3,0.0 
16/4/2021 00:00,24.2,145,12,0.0 
16/4/2021 03:00,22.6,118,18,0.0 
16/4/2021 06:00,20.8,187,10,0.0 
16/4/2021 09:00,22.5,140,12,0.0 
16/4/2021 12:00,27.0,123,8,0.0 
16/4/2021 15:00,30.9,124,9,0.0 
16/4/2021 18:00,29.9,210,4,0.4 
16/4/2021 21:00,22.5,165,9,2.9 
17/4/2021 00:00,20.7,158,7,3.1 
17/4/2021 03:00,19.8,175,9,1.8 
17/4/2021 06:00,19.8,141,7,1.4 
17/4/2021 09:00,20.8,143,7,0.1 
17/4/2021 12:00,24.7,198,5,0.1 
17/4/2021 15:00,26.7,141,5,0.4 
17/4/2021 18:00,26.2,123,10,0.6 
17/4/2021 21:00,21.2,183,10,2.5 
