fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,12.3,192,13,0.0 
25/4/2021 03:00,10.3,198,11,0.0 
25/4/2021 06:00,8.6,199,12,0.0 
25/4/2021 09:00,10.3,197,12,0.0 
25/4/2021 12:00,15.7,184,13,0.0 
25/4/2021 15:00,17.4,190,14,0.0 
25/4/2021 18:00,14.7,183,8,0.0 
25/4/2021 21:00,11.5,184,6,0.0 
26/4/2021 00:00,10.4,216,4,0.0 
26/4/2021 03:00,9.6,197,3,0.0 
26/4/2021 06:00,9.1,219,4,0.0 
26/4/2021 09:00,11.7,116,1,0.0 
26/4/2021 12:00,16.9,15,5,0.0 
26/4/2021 15:00,18.6,358,7,0.0 
26/4/2021 18:00,16.2,304,4,0.0 
26/4/2021 21:00,12.9,292,3,0.0 
27/4/2021 00:00,11.8,323,3,0.0 
27/4/2021 03:00,11.0,305,4,0.0 
27/4/2021 06:00,10.3,326,3,0.0 
27/4/2021 09:00,12.6,36,6,0.0 
27/4/2021 12:00,17.9,5,11,0.0 
27/4/2021 15:00,19.6,349,11,0.0 
27/4/2021 18:00,16.7,332,5,0.0 
27/4/2021 21:00,13.2,11,6,0.0 
28/4/2021 00:00,12.1,14,7,0.0 
28/4/2021 03:00,11.0,2,7,0.0 
28/4/2021 06:00,10.2,8,8,0.0 
28/4/2021 09:00,12.5,18,7,0.0 
28/4/2021 12:00,18.2,13,9,0.0 
28/4/2021 15:00,20.4,359,10,0.0 
28/4/2021 18:00,17.1,334,5,0.0 
28/4/2021 21:00,13.6,42,7,0.0 
29/4/2021 00:00,12.1,14,9,0.0 
29/4/2021 03:00,11.0,7,8,0.0 
29/4/2021 06:00,10.1,26,8,0.0 
29/4/2021 09:00,12.2,41,9,0.0 
29/4/2021 12:00,18.3,27,13,0.0 
29/4/2021 15:00,20.7,17,13,0.0 
29/4/2021 18:00,17.1,34,10,0.0 
29/4/2021 21:00,13.6,42,12,0.0 
