fecha,temp,vientodir,vientokm,precip
26/4/2021 00:00,12.0,189,3,1.8 
26/4/2021 03:00,11.8,98,1,0.3 
26/4/2021 06:00,10.1,334,1,0.1 
26/4/2021 09:00,11.4,34,2,0.0 
26/4/2021 12:00,15.6,60,9,0.0 
26/4/2021 15:00,17.2,56,9,0.0 
26/4/2021 18:00,15.9,63,6,0.0 
26/4/2021 21:00,12.7,159,4,0.2 
27/4/2021 00:00,12.2,253,3,0.1 
27/4/2021 03:00,9.9,249,3,0.0 
27/4/2021 06:00,9.1,253,5,0.0 
27/4/2021 09:00,11.6,317,1,0.0 
27/4/2021 12:00,17.1,54,9,0.0 
27/4/2021 15:00,19.0,68,9,0.0 
27/4/2021 18:00,17.2,44,5,0.0 
27/4/2021 21:00,13.7,139,5,0.0 
28/4/2021 00:00,13.3,140,1,0.0 
28/4/2021 03:00,9.9,208,4,0.0 
28/4/2021 06:00,9.2,253,5,0.0 
28/4/2021 09:00,12.3,239,3,0.0 
28/4/2021 12:00,18.2,70,7,0.0 
28/4/2021 15:00,19.5,68,10,0.0 
28/4/2021 18:00,18.1,77,4,0.0 
28/4/2021 21:00,14.4,200,4,0.0 
29/4/2021 00:00,13.4,275,1,0.0 
29/4/2021 03:00,10.3,244,6,0.0 
29/4/2021 06:00,9.4,264,4,0.0 
29/4/2021 09:00,12.2,241,2,0.0 
29/4/2021 12:00,17.8,54,9,0.0 
29/4/2021 15:00,19.5,58,10,0.0 
29/4/2021 18:00,17.5,53,7,0.0 
29/4/2021 21:00,11.6,188,3,0.0 
30/4/2021 00:00,10.4,187,3,0.0 
30/4/2021 03:00,9.5,282,3,0.0 
30/4/2021 06:00,8.8,263,5,0.0 
30/4/2021 09:00,11.9,270,2,0.0 
30/4/2021 12:00,17.4,57,9,0.0 
30/4/2021 15:00,19.7,56,11,0.0 
30/4/2021 18:00,17.5,60,8,0.0 
30/4/2021 21:00,11.5,202,2,0.0 
