fecha,temp,vientodir,vientokm,precip
26/4/2021 00:00,11.5,311,27,0.0 
26/4/2021 03:00,11.5,309,29,0.0 
26/4/2021 06:00,11.4,301,32,0.0 
26/4/2021 09:00,10.8,314,23,0.0 
26/4/2021 12:00,12.8,321,33,0.0 
26/4/2021 15:00,15.6,306,45,0.0 
26/4/2021 18:00,14.7,327,47,0.0 
26/4/2021 21:00,13.0,335,35,0.0 
27/4/2021 00:00,11.9,340,34,0.0 
27/4/2021 03:00,11.6,328,37,0.0 
27/4/2021 06:00,10.8,326,33,0.0 
27/4/2021 09:00,11.4,333,35,0.0 
27/4/2021 12:00,13.4,321,22,0.0 
27/4/2021 15:00,12.5,248,12,0.0 
27/4/2021 18:00,12.2,292,18,0.0 
27/4/2021 21:00,11.1,293,39,0.0 
28/4/2021 00:00,9.8,290,52,0.0 
28/4/2021 03:00,9.3,281,55,0.0 
28/4/2021 06:00,8.3,269,33,0.0 
28/4/2021 09:00,6.3,300,15,0.0 
28/4/2021 12:00,9.8,292,24,0.0 
28/4/2021 15:00,10.6,230,11,0.0 
28/4/2021 18:00,7.9,98,4,0.0 
28/4/2021 21:00,7.8,106,9,0.0 
29/4/2021 00:00,7.4,145,9,0.0 
29/4/2021 03:00,6.7,83,12,0.0 
29/4/2021 06:00,7.0,47,16,0.0 
29/4/2021 09:00,6.9,42,18,0.1 
29/4/2021 12:00,7.4,66,26,0.7 
29/4/2021 15:00,9.5,17,13,0.2 
29/4/2021 18:00,9.5,290,14,0.0 
29/4/2021 21:00,8.1,270,8,0.0 
30/4/2021 00:00,7.2,235,9,0.0 
30/4/2021 03:00,6.0,228,15,0.0 
30/4/2021 06:00,4.5,224,19,0.0 
30/4/2021 09:00,4.2,237,12,0.0 
30/4/2021 12:00,5.1,211,21,0.0 
30/4/2021 15:00,6.8,194,23,0.0 
30/4/2021 18:00,6.4,175,17,0.0 
30/4/2021 21:00,6.2,170,20,0.0 
