fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,9.8,177,10,0.0 
25/4/2021 03:00,8.6,158,8,0.0 
25/4/2021 06:00,7.4,133,5,0.0 
25/4/2021 09:00,9.2,96,4,0.0 
25/4/2021 12:00,14.1,77,5,0.0 
25/4/2021 15:00,16.5,63,8,0.0 
25/4/2021 18:00,14.5,61,9,0.0 
25/4/2021 21:00,10.8,44,11,0.0 
26/4/2021 00:00,9.4,15,12,0.0 
26/4/2021 03:00,8.3,8,11,0.0 
26/4/2021 06:00,7.4,8,11,0.0 
26/4/2021 09:00,8.5,11,10,0.0 
26/4/2021 12:00,15.2,11,17,0.0 
26/4/2021 15:00,18.3,8,17,0.0 
26/4/2021 18:00,16.4,29,12,0.0 
26/4/2021 21:00,12.5,28,14,0.0 
27/4/2021 00:00,11.3,2,13,0.0 
27/4/2021 03:00,10.5,354,14,0.0 
27/4/2021 06:00,10.0,350,14,0.0 
27/4/2021 09:00,11.1,351,12,0.0 
27/4/2021 12:00,18.4,352,18,0.0 
27/4/2021 15:00,21.7,358,19,0.0 
27/4/2021 18:00,18.7,30,16,0.0 
27/4/2021 21:00,14.6,11,16,0.0 
28/4/2021 00:00,13.2,354,15,0.0 
28/4/2021 03:00,12.0,346,14,0.0 
28/4/2021 06:00,11.2,338,11,0.0 
28/4/2021 09:00,12.7,357,9,0.0 
28/4/2021 12:00,19.7,359,14,0.0 
28/4/2021 15:00,22.9,1,16,0.0 
28/4/2021 18:00,19.5,34,15,0.0 
28/4/2021 21:00,15.1,16,16,0.0 
29/4/2021 00:00,13.2,5,13,0.0 
29/4/2021 03:00,11.9,7,13,0.0 
29/4/2021 06:00,11.1,9,15,0.0 
29/4/2021 09:00,12.0,7,21,0.0 
29/4/2021 12:00,18.9,3,24,0.0 
29/4/2021 15:00,21.8,7,27,0.0 
29/4/2021 18:00,18.9,15,24,0.0 
29/4/2021 21:00,14.6,22,20,0.0 
