fecha,temp,vientodir,vientokm,precip
13/4/2021 00:00,11.5,36,14,0.0 
13/4/2021 03:00,10.1,48,11,0.0 
13/4/2021 06:00,9.2,58,7,0.0 
13/4/2021 09:00,12.7,47,4,0.0 
13/4/2021 12:00,18.6,5,14,0.0 
13/4/2021 15:00,21.9,8,18,0.0 
13/4/2021 18:00,20.6,4,15,0.0 
13/4/2021 21:00,13.9,53,6,0.0 
14/4/2021 00:00,13.0,23,14,0.0 
14/4/2021 03:00,12.3,38,11,0.0 
14/4/2021 06:00,11.3,17,8,0.0 
14/4/2021 09:00,13.8,20,11,0.0 
14/4/2021 12:00,19.5,1,20,0.0 
14/4/2021 15:00,22.0,354,23,0.0 
14/4/2021 18:00,21.3,348,14,0.0 
14/4/2021 21:00,16.1,320,4,0.0 
15/4/2021 00:00,15.0,22,13,0.0 
15/4/2021 03:00,13.7,44,8,0.0 
15/4/2021 06:00,12.6,158,2,0.0 
15/4/2021 09:00,16.4,146,3,0.0 
15/4/2021 12:00,21.4,334,5,0.0 
15/4/2021 15:00,24.1,10,6,0.0 
15/4/2021 18:00,24.0,289,2,0.0 
15/4/2021 21:00,19.0,93,14,0.0 
16/4/2021 00:00,16.2,32,2,0.0 
16/4/2021 03:00,15.6,31,11,0.0 
16/4/2021 06:00,14.8,36,6,0.0 
16/4/2021 09:00,17.2,228,2,0.0 
16/4/2021 12:00,22.4,347,1,0.1 
16/4/2021 15:00,24.6,305,3,0.0 
16/4/2021 18:00,24.6,108,3,0.0 
16/4/2021 21:00,20.4,83,16,0.0 
17/4/2021 00:00,17.0,72,9,0.0 
17/4/2021 03:00,16.4,347,13,0.1 
17/4/2021 06:00,14.9,61,13,0.1 
17/4/2021 09:00,16.5,342,6,0.0 
17/4/2021 12:00,21.2,360,12,0.0 
17/4/2021 15:00,23.0,347,16,0.4 
17/4/2021 18:00,22.6,8,12,0.0 
17/4/2021 21:00,19.0,76,14,0.0 
