fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,20.2,49,26,0.2 
4/4/2021 03:00,19.8,17,26,1.0 
4/4/2021 06:00,20.1,28,24,0.6 
4/4/2021 09:00,20.0,42,23,0.2 
4/4/2021 12:00,20.2,39,21,0.0 
4/4/2021 15:00,20.1,46,16,0.0 
4/4/2021 18:00,20.1,55,16,0.1 
4/4/2021 21:00,20.5,60,18,0.0 
5/4/2021 00:00,21.2,49,19,0.0 
5/4/2021 03:00,21.5,38,23,0.2 
5/4/2021 06:00,21.4,48,22,0.2 
5/4/2021 09:00,21.1,39,23,0.0 
5/4/2021 12:00,20.7,17,20,0.2 
5/4/2021 15:00,21.1,41,14,0.3 
5/4/2021 18:00,20.9,68,17,0.0 
5/4/2021 21:00,20.9,61,22,0.0 
6/4/2021 00:00,20.7,51,22,0.0 
6/4/2021 03:00,20.5,46,19,0.0 
6/4/2021 06:00,20.4,57,17,0.0 
6/4/2021 09:00,20.3,56,23,0.0 
6/4/2021 12:00,20.4,51,21,0.0 
6/4/2021 15:00,20.5,56,23,0.0 
6/4/2021 18:00,20.4,67,25,0.0 
6/4/2021 21:00,20.5,61,31,0.0 
7/4/2021 00:00,20.5,43,37,0.0 
7/4/2021 03:00,20.4,28,33,0.0 
7/4/2021 06:00,20.1,25,30,0.0 
7/4/2021 09:00,20.1,19,32,0.0 
7/4/2021 12:00,19.8,11,32,0.0 
7/4/2021 15:00,20.4,22,21,0.0 
7/4/2021 18:00,21.0,35,19,0.0 
7/4/2021 21:00,21.4,45,21,0.1 
8/4/2021 00:00,21.6,19,34,0.0 
8/4/2021 03:00,20.9,6,38,0.0 
8/4/2021 06:00,20.7,6,36,0.0 
8/4/2021 09:00,20.6,357,42,0.0 
8/4/2021 12:00,20.5,344,29,0.0 
8/4/2021 15:00,20.9,348,27,0.0 
8/4/2021 18:00,21.7,1,27,0.0 
8/4/2021 21:00,21.7,359,21,0.0 
