fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,16.6,149,13,0.0 
25/4/2021 03:00,14.7,149,9,0.0 
25/4/2021 06:00,13.2,181,7,0.0 
25/4/2021 09:00,15.1,153,7,0.0 
25/4/2021 12:00,20.4,110,8,0.0 
25/4/2021 15:00,22.9,92,10,0.0 
25/4/2021 18:00,21.7,85,11,0.0 
25/4/2021 21:00,17.2,92,11,0.0 
26/4/2021 00:00,14.9,79,11,0.0 
26/4/2021 03:00,13.5,53,7,0.0 
26/4/2021 06:00,12.5,68,7,0.0 
26/4/2021 09:00,13.8,63,9,0.0 
26/4/2021 12:00,19.5,50,10,0.0 
26/4/2021 15:00,22.5,60,10,0.0 
26/4/2021 18:00,21.9,67,10,0.0 
26/4/2021 21:00,16.6,92,14,0.0 
27/4/2021 00:00,14.4,69,11,0.0 
27/4/2021 03:00,13.0,34,8,0.0 
27/4/2021 06:00,12.0,46,6,0.0 
27/4/2021 09:00,13.9,27,9,0.0 
27/4/2021 12:00,20.5,31,12,0.0 
27/4/2021 15:00,23.8,42,12,0.0 
27/4/2021 18:00,22.9,61,11,0.0 
27/4/2021 21:00,17.4,80,13,0.0 
28/4/2021 00:00,15.1,62,11,0.0 
28/4/2021 03:00,13.8,45,9,0.0 
28/4/2021 06:00,12.9,33,8,0.0 
28/4/2021 09:00,14.9,21,9,0.0 
28/4/2021 12:00,21.7,29,12,0.0 
28/4/2021 15:00,24.9,49,11,0.0 
28/4/2021 18:00,23.7,70,11,0.0 
28/4/2021 21:00,18.1,82,13,0.0 
29/4/2021 00:00,15.7,68,12,0.0 
29/4/2021 03:00,14.4,31,9,0.0 
29/4/2021 06:00,13.3,33,9,0.0 
29/4/2021 09:00,15.0,23,11,0.0 
29/4/2021 12:00,21.8,27,15,0.0 
29/4/2021 15:00,25.1,45,16,0.0 
29/4/2021 18:00,23.8,62,15,0.0 
29/4/2021 21:00,18.0,75,17,0.0 
