fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,12.5,17,7,0.0 
25/4/2021 03:00,12.1,10,10,0.0 
25/4/2021 06:00,11.5,352,13,0.0 
25/4/2021 09:00,11.5,349,16,0.0 
25/4/2021 12:00,15.4,343,22,0.0 
25/4/2021 15:00,17.9,335,21,0.0 
25/4/2021 18:00,17.7,344,17,0.0 
25/4/2021 21:00,15.5,1,18,0.0 
26/4/2021 00:00,14.2,350,20,0.0 
26/4/2021 03:00,13.1,346,22,0.0 
26/4/2021 06:00,12.4,336,22,0.0 
26/4/2021 09:00,12.3,339,24,0.0 
26/4/2021 12:00,16.6,327,29,0.0 
26/4/2021 15:00,19.4,325,27,0.0 
26/4/2021 18:00,19.4,330,20,0.0 
26/4/2021 21:00,16.9,341,19,0.0 
27/4/2021 00:00,15.9,336,20,0.0 
27/4/2021 03:00,14.9,338,20,0.0 
27/4/2021 06:00,14.3,331,19,0.0 
27/4/2021 09:00,14.2,334,20,0.0 
27/4/2021 12:00,19.3,320,29,0.0 
27/4/2021 15:00,22.6,316,31,0.0 
27/4/2021 18:00,21.8,314,25,0.0 
27/4/2021 21:00,19.5,333,23,0.0 
28/4/2021 00:00,18.2,315,22,0.0 
28/4/2021 03:00,17.1,294,17,0.0 
28/4/2021 06:00,16.7,285,14,0.0 
28/4/2021 09:00,16.1,296,14,0.0 
28/4/2021 12:00,20.7,295,14,0.0 
28/4/2021 15:00,23.4,316,25,0.0 
28/4/2021 18:00,22.1,322,17,0.0 
28/4/2021 21:00,19.5,318,12,0.0 
29/4/2021 00:00,18.6,341,19,0.0 
29/4/2021 03:00,17.5,341,27,0.0 
29/4/2021 06:00,16.4,338,29,0.0 
29/4/2021 09:00,16.1,342,25,0.0 
29/4/2021 12:00,20.3,333,34,0.0 
29/4/2021 15:00,23.9,332,37,0.0 
29/4/2021 18:00,23.6,342,29,0.0 
29/4/2021 21:00,20.7,338,27,0.0 
