fecha,temp,vientodir,vientokm,precip
26/4/2021 00:00,13.8,50,6,0.0 
26/4/2021 03:00,12.6,74,6,0.0 
26/4/2021 06:00,11.4,80,3,0.0 
26/4/2021 09:00,12.8,64,2,0.0 
26/4/2021 12:00,16.6,16,9,0.0 
26/4/2021 15:00,19.1,33,14,0.0 
26/4/2021 18:00,19.4,23,12,0.0 
26/4/2021 21:00,16.6,42,11,0.0 
27/4/2021 00:00,14.0,42,17,0.0 
27/4/2021 03:00,12.5,44,11,0.0 
27/4/2021 06:00,11.6,40,6,0.0 
27/4/2021 09:00,12.2,34,6,0.0 
27/4/2021 12:00,16.8,18,11,0.0 
27/4/2021 15:00,19.9,21,18,0.0 
27/4/2021 18:00,20.1,17,17,0.0 
27/4/2021 21:00,16.9,23,10,0.0 
28/4/2021 00:00,14.3,53,16,0.0 
28/4/2021 03:00,13.0,49,9,0.0 
28/4/2021 06:00,11.9,23,4,0.0 
28/4/2021 09:00,12.8,42,7,0.0 
28/4/2021 12:00,17.8,15,8,0.0 
28/4/2021 15:00,21.1,33,15,0.0 
28/4/2021 18:00,20.8,31,15,0.0 
28/4/2021 21:00,17.2,19,11,0.0 
29/4/2021 00:00,14.8,58,16,0.0 
29/4/2021 03:00,13.2,45,10,0.0 
29/4/2021 06:00,12.6,63,9,0.0 
29/4/2021 09:00,12.1,54,8,0.0 
29/4/2021 12:00,17.2,26,13,0.0 
29/4/2021 15:00,20.6,19,24,0.0 
29/4/2021 18:00,20.9,12,19,0.0 
29/4/2021 21:00,17.6,53,11,0.0 
30/4/2021 00:00,14.9,55,17,0.0 
30/4/2021 03:00,13.1,58,8,0.0 
30/4/2021 06:00,12.2,72,6,0.0 
30/4/2021 09:00,11.9,62,10,0.0 
30/4/2021 12:00,16.2,28,13,0.0 
30/4/2021 15:00,20.1,24,18,0.0 
30/4/2021 18:00,20.1,25,17,0.0 
30/4/2021 21:00,17.0,57,10,0.0 
