fecha,temp,vientodir,vientokm,precip
26/4/2021 00:00,11.7,151,5,0.0 
26/4/2021 03:00,10.6,153,4,0.0 
26/4/2021 06:00,10.1,155,4,0.0 
26/4/2021 09:00,13.2,154,4,0.0 
26/4/2021 12:00,18.3,207,6,0.0 
26/4/2021 15:00,17.5,245,5,0.0 
26/4/2021 18:00,15.2,150,2,0.0 
26/4/2021 21:00,11.8,91,3,0.0 
27/4/2021 00:00,10.7,23,3,0.0 
27/4/2021 03:00,9.8,340,3,0.0 
27/4/2021 06:00,9.1,313,3,0.0 
27/4/2021 09:00,12.4,335,3,0.0 
27/4/2021 12:00,19.2,322,4,0.0 
27/4/2021 15:00,20.4,302,5,0.0 
27/4/2021 18:00,15.8,111,3,0.0 
27/4/2021 21:00,12.0,36,5,0.0 
28/4/2021 00:00,10.9,11,5,0.0 
28/4/2021 03:00,10.2,336,5,0.0 
28/4/2021 06:00,9.5,340,4,0.0 
28/4/2021 09:00,12.7,328,4,0.0 
28/4/2021 12:00,19.6,319,6,0.0 
28/4/2021 15:00,21.3,300,6,0.0 
28/4/2021 18:00,16.4,243,3,0.0 
28/4/2021 21:00,12.6,42,4,0.0 
29/4/2021 00:00,11.4,2,4,0.0 
29/4/2021 03:00,10.5,345,5,0.0 
29/4/2021 06:00,9.6,346,5,0.0 
29/4/2021 09:00,12.6,359,5,0.0 
29/4/2021 12:00,19.5,359,8,0.0 
29/4/2021 15:00,21.5,8,9,0.0 
29/4/2021 18:00,15.9,52,7,0.0 
29/4/2021 21:00,12.3,30,6,0.0 
30/4/2021 00:00,11.1,36,6,0.0 
30/4/2021 03:00,10.0,45,6,0.0 
30/4/2021 06:00,8.9,39,6,0.0 
30/4/2021 09:00,12.3,23,7,0.0 
30/4/2021 12:00,19.6,14,10,0.0 
30/4/2021 15:00,21.6,20,11,0.0 
30/4/2021 18:00,16.3,62,7,0.0 
30/4/2021 21:00,13.6,55,6,0.0 
