fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,16.1,134,16,0.0 
25/4/2021 03:00,14.3,170,4,0.0 
25/4/2021 06:00,13.3,198,9,0.0 
25/4/2021 09:00,14.0,164,4,0.0 
25/4/2021 12:00,18.7,210,3,0.0 
25/4/2021 15:00,22.1,60,3,0.0 
25/4/2021 18:00,23.1,88,5,0.0 
25/4/2021 21:00,20.2,85,18,0.0 
26/4/2021 00:00,17.3,73,13,0.0 
26/4/2021 03:00,15.8,251,3,0.0 
26/4/2021 06:00,14.8,303,9,0.0 
26/4/2021 09:00,15.7,309,3,0.0 
26/4/2021 12:00,20.0,290,1,0.0 
26/4/2021 15:00,23.4,85,7,0.0 
26/4/2021 18:00,24.0,78,18,0.0 
26/4/2021 21:00,18.7,77,25,0.0 
27/4/2021 00:00,16.7,78,15,0.0 
27/4/2021 03:00,15.3,89,9,0.0 
27/4/2021 06:00,14.3,74,3,0.0 
27/4/2021 09:00,15.5,20,4,0.0 
27/4/2021 12:00,20.5,29,6,0.0 
27/4/2021 15:00,24.7,69,9,0.0 
27/4/2021 18:00,25.1,71,24,0.0 
27/4/2021 21:00,19.1,86,21,0.0 
28/4/2021 00:00,16.7,89,18,0.0 
28/4/2021 03:00,15.2,101,3,0.0 
28/4/2021 06:00,13.8,286,6,0.0 
28/4/2021 09:00,14.9,329,7,0.0 
28/4/2021 12:00,20.6,310,4,0.0 
28/4/2021 15:00,25.2,78,10,0.0 
28/4/2021 18:00,25.7,67,24,0.0 
28/4/2021 21:00,19.3,81,22,0.0 
29/4/2021 00:00,17.1,101,14,0.0 
29/4/2021 03:00,16.1,306,13,0.0 
29/4/2021 06:00,14.3,335,5,0.0 
29/4/2021 09:00,14.9,86,12,0.0 
29/4/2021 12:00,21.4,84,5,0.0 
29/4/2021 15:00,25.9,47,9,0.0 
29/4/2021 18:00,25.2,74,29,0.0 
29/4/2021 21:00,20.2,78,18,0.0 
