fecha,temp,vientodir,vientokm,precip
13/4/2021 00:00,14.7,301,38,0.0 
13/4/2021 03:00,13.2,297,30,0.0 
13/4/2021 06:00,11.5,302,21,0.0 
13/4/2021 09:00,10.2,293,7,0.0 
13/4/2021 12:00,16.3,331,15,0.0 
13/4/2021 15:00,17.4,40,30,0.0 
13/4/2021 18:00,17.4,15,24,0.0 
13/4/2021 21:00,17.9,333,31,0.0 
14/4/2021 00:00,16.9,335,39,0.0 
14/4/2021 03:00,16.0,327,49,0.0 
14/4/2021 06:00,16.0,323,47,0.0 
14/4/2021 09:00,8.8,199,36,0.0 
14/4/2021 12:00,8.4,209,8,0.2 
14/4/2021 15:00,15.0,287,17,0.0 
14/4/2021 18:00,14.8,289,38,0.0 
14/4/2021 21:00,12.7,267,30,0.0 
15/4/2021 00:00,10.4,321,15,0.0 
15/4/2021 03:00,9.0,323,14,0.0 
15/4/2021 06:00,8.0,321,24,0.0 
15/4/2021 09:00,9.2,314,28,0.0 
15/4/2021 12:00,13.1,327,30,0.0 
15/4/2021 15:00,14.9,338,37,0.0 
15/4/2021 18:00,14.8,347,31,0.0 
15/4/2021 21:00,15.4,309,44,0.0 
16/4/2021 00:00,11.8,246,24,0.0 
16/4/2021 03:00,8.7,265,17,0.0 
16/4/2021 06:00,6.7,285,14,0.0 
16/4/2021 09:00,6.8,289,7,0.0 
16/4/2021 12:00,11.7,5,13,0.0 
16/4/2021 15:00,15.5,340,17,0.0 
16/4/2021 18:00,12.5,51,25,0.0 
16/4/2021 21:00,11.3,344,7,0.0 
17/4/2021 00:00,9.7,341,15,0.0 
17/4/2021 03:00,8.6,332,7,0.0 
17/4/2021 06:00,7.5,10,6,0.0 
17/4/2021 09:00,8.5,338,10,0.0 
17/4/2021 12:00,15.1,355,23,0.0 
17/4/2021 15:00,18.0,347,32,0.0 
17/4/2021 18:00,17.4,360,33,0.0 
17/4/2021 21:00,15.5,354,39,0.0 
