fecha,temp,vientodir,vientokm,precip
26/4/2021 00:00,12.7,56,10,0.0 
26/4/2021 03:00,12.0,44,4,0.0 
26/4/2021 06:00,11.3,61,4,0.0 
26/4/2021 09:00,14.1,56,6,0.0 
26/4/2021 12:00,19.0,360,3,0.0 
26/4/2021 15:00,21.0,223,1,0.0 
26/4/2021 18:00,20.1,245,6,0.0 
26/4/2021 21:00,14.2,33,3,0.0 
27/4/2021 00:00,13.1,271,2,0.0 
27/4/2021 03:00,12.5,35,6,0.0 
27/4/2021 06:00,12.0,52,11,0.0 
27/4/2021 09:00,14.2,34,5,0.0 
27/4/2021 12:00,19.4,298,6,0.0 
27/4/2021 15:00,21.7,314,12,0.0 
27/4/2021 18:00,19.8,303,14,0.0 
27/4/2021 21:00,14.0,339,8,0.0 
28/4/2021 00:00,13.3,359,6,0.0 
28/4/2021 03:00,12.3,16,5,0.0 
28/4/2021 06:00,12.0,54,7,0.0 
28/4/2021 09:00,14.5,48,6,0.0 
28/4/2021 12:00,20.2,274,2,0.0 
28/4/2021 15:00,22.6,257,3,0.0 
28/4/2021 18:00,21.4,261,7,0.0 
28/4/2021 21:00,14.9,9,5,0.0 
29/4/2021 00:00,13.4,336,5,0.0 
29/4/2021 03:00,12.6,42,5,0.0 
29/4/2021 06:00,12.3,41,9,0.0 
29/4/2021 09:00,14.6,160,3,0.0 
29/4/2021 12:00,20.3,353,5,0.0 
29/4/2021 15:00,23.2,37,1,0.0 
29/4/2021 18:00,21.1,137,5,0.0 
29/4/2021 21:00,14.2,240,2,0.0 
30/4/2021 00:00,13.7,48,10,0.0 
30/4/2021 03:00,11.3,62,4,0.0 
30/4/2021 06:00,11.0,73,7,0.0 
30/4/2021 09:00,13.5,38,2,0.0 
30/4/2021 12:00,19.7,8,3,0.0 
30/4/2021 15:00,22.5,65,5,0.0 
30/4/2021 18:00,20.2,170,8,0.0 
30/4/2021 21:00,14.7,129,8,0.0 
