fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,14.4,116,12,0.0 
25/4/2021 03:00,12.9,223,6,0.0 
25/4/2021 06:00,12.0,139,6,0.0 
25/4/2021 09:00,13.2,150,8,0.0 
25/4/2021 12:00,17.9,83,10,0.0 
25/4/2021 15:00,20.7,60,11,0.0 
25/4/2021 18:00,21.1,43,8,0.0 
25/4/2021 21:00,17.3,208,4,0.0 
26/4/2021 00:00,15.6,47,16,0.0 
26/4/2021 03:00,14.4,18,9,0.0 
26/4/2021 06:00,13.1,98,8,0.0 
26/4/2021 09:00,13.0,93,9,0.0 
26/4/2021 12:00,18.1,83,8,0.0 
26/4/2021 15:00,22.2,53,9,0.0 
26/4/2021 18:00,22.8,42,11,0.0 
26/4/2021 21:00,18.1,56,13,0.0 
27/4/2021 00:00,15.4,32,14,0.0 
27/4/2021 03:00,13.7,18,8,0.0 
27/4/2021 06:00,12.5,71,7,0.0 
27/4/2021 09:00,12.7,55,6,0.0 
27/4/2021 12:00,18.3,41,9,0.0 
27/4/2021 15:00,22.9,20,14,0.0 
27/4/2021 18:00,23.5,8,15,0.0 
27/4/2021 21:00,18.5,42,10,0.0 
28/4/2021 00:00,15.4,37,12,0.0 
28/4/2021 03:00,13.6,351,5,0.0 
28/4/2021 06:00,12.9,74,9,0.0 
28/4/2021 09:00,13.3,74,5,0.0 
28/4/2021 12:00,18.8,75,9,0.0 
28/4/2021 15:00,23.6,37,10,0.0 
28/4/2021 18:00,23.9,12,15,0.0 
28/4/2021 21:00,18.8,30,11,0.0 
29/4/2021 00:00,15.6,40,12,0.0 
29/4/2021 03:00,13.4,21,2,0.0 
29/4/2021 06:00,12.7,115,10,0.0 
29/4/2021 09:00,12.4,123,9,0.0 
29/4/2021 12:00,19.3,14,14,0.0 
29/4/2021 15:00,23.7,18,20,0.0 
29/4/2021 18:00,24.4,15,13,0.0 
29/4/2021 21:00,18.9,60,19,0.0 
