fecha,temp,vientodir,vientokm,precip
26/4/2021 00:00,13.6,288,6,0.0 
26/4/2021 03:00,12.8,327,5,0.0 
26/4/2021 06:00,12.4,309,9,0.0 
26/4/2021 09:00,13.5,299,8,0.0 
26/4/2021 12:00,18.5,338,13,0.0 
26/4/2021 15:00,20.9,1,15,0.0 
26/4/2021 18:00,20.2,15,16,0.0 
26/4/2021 21:00,16.7,340,12,0.0 
27/4/2021 00:00,15.1,344,9,0.0 
27/4/2021 03:00,14.1,309,8,0.0 
27/4/2021 06:00,13.9,317,9,0.0 
27/4/2021 09:00,14.6,332,9,0.0 
27/4/2021 12:00,19.8,350,19,0.0 
27/4/2021 15:00,22.9,356,22,0.0 
27/4/2021 18:00,21.1,15,21,0.0 
27/4/2021 21:00,16.9,327,9,0.0 
28/4/2021 00:00,15.9,330,10,0.0 
28/4/2021 03:00,15.3,321,10,0.0 
28/4/2021 06:00,14.6,314,7,0.0 
28/4/2021 09:00,15.3,293,1,0.0 
28/4/2021 12:00,19.8,84,6,0.0 
28/4/2021 15:00,22.6,23,10,0.0 
28/4/2021 18:00,21.4,16,21,0.0 
28/4/2021 21:00,17.4,319,8,0.0 
29/4/2021 00:00,16.2,329,8,0.0 
29/4/2021 03:00,14.9,314,8,0.0 
29/4/2021 06:00,14.5,310,9,0.0 
29/4/2021 09:00,14.6,326,11,0.0 
29/4/2021 12:00,19.8,359,19,0.0 
29/4/2021 15:00,21.9,5,25,0.0 
29/4/2021 18:00,21.4,9,25,0.0 
29/4/2021 21:00,17.5,337,13,0.0 
30/4/2021 00:00,15.7,334,14,0.0 
30/4/2021 03:00,14.8,323,12,0.0 
30/4/2021 06:00,14.2,338,12,0.0 
30/4/2021 09:00,14.1,349,12,0.0 
30/4/2021 12:00,18.6,8,14,0.0 
30/4/2021 15:00,21.8,22,15,0.0 
30/4/2021 18:00,20.6,21,17,0.0 
30/4/2021 21:00,17.2,349,8,0.0 
