fecha,temp,vientodir,vientokm,precip
13/4/2021 00:00,13.5,82,3,0.0 
13/4/2021 03:00,12.5,102,2,0.0 
13/4/2021 06:00,11.8,72,4,0.0 
13/4/2021 09:00,15.2,64,5,0.0 
13/4/2021 12:00,20.3,53,8,0.0 
13/4/2021 15:00,22.0,67,8,0.0 
13/4/2021 18:00,19.3,88,7,0.0 
13/4/2021 21:00,15.2,97,10,0.0 
14/4/2021 00:00,13.9,87,9,0.0 
14/4/2021 03:00,12.9,83,8,0.0 
14/4/2021 06:00,12.2,74,8,0.0 
14/4/2021 09:00,15.3,67,10,0.0 
14/4/2021 12:00,21.3,40,11,0.0 
14/4/2021 15:00,23.8,42,11,0.0 
14/4/2021 18:00,19.9,63,10,0.0 
14/4/2021 21:00,17.1,83,7,0.0 
15/4/2021 00:00,15.8,46,5,0.0 
15/4/2021 03:00,15.2,222,2,0.0 
15/4/2021 06:00,14.8,166,5,0.0 
15/4/2021 09:00,17.7,152,4,0.0 
15/4/2021 12:00,23.5,190,2,0.0 
15/4/2021 15:00,25.8,26,4,0.0 
15/4/2021 18:00,23.2,357,4,0.0 
15/4/2021 21:00,19.1,182,4,0.0 
16/4/2021 00:00,17.9,171,4,0.0 
16/4/2021 03:00,17.2,131,4,0.0 
16/4/2021 06:00,16.5,172,5,0.0 
16/4/2021 09:00,19.2,121,5,0.0 
16/4/2021 12:00,24.4,108,6,0.0 
16/4/2021 15:00,26.4,122,5,0.0 
16/4/2021 18:00,22.7,125,10,0.0 
16/4/2021 21:00,21.7,119,10,0.0 
17/4/2021 00:00,20.7,133,9,0.0 
17/4/2021 03:00,18.1,108,7,0.0 
17/4/2021 06:00,17.1,122,6,0.0 
17/4/2021 09:00,19.6,100,8,0.0 
17/4/2021 12:00,24.3,77,12,0.0 
17/4/2021 15:00,26.0,81,10,0.2 
17/4/2021 18:00,22.5,105,14,0.0 
17/4/2021 21:00,20.6,106,10,0.0 
