fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,10.0,218,15,0.0 
25/4/2021 03:00,8.7,207,16,0.0 
25/4/2021 06:00,9.2,202,16,0.0 
25/4/2021 09:00,11.8,187,16,0.0 
25/4/2021 12:00,13.7,155,16,0.0 
25/4/2021 15:00,15.3,145,16,0.1 
25/4/2021 18:00,13.6,157,12,0.0 
25/4/2021 21:00,10.6,141,11,0.0 
26/4/2021 00:00,9.1,131,8,0.0 
26/4/2021 03:00,8.3,142,4,0.0 
26/4/2021 06:00,7.7,171,2,0.0 
26/4/2021 09:00,9.8,250,3,0.0 
26/4/2021 12:00,14.8,266,4,0.0 
26/4/2021 15:00,16.3,278,7,0.0 
26/4/2021 18:00,13.5,319,7,0.0 
26/4/2021 21:00,10.7,308,4,0.0 
27/4/2021 00:00,9.3,286,5,0.0 
27/4/2021 03:00,8.5,304,6,0.0 
27/4/2021 06:00,8.0,311,7,0.0 
27/4/2021 09:00,9.9,323,7,0.0 
27/4/2021 12:00,15.6,329,14,0.0 
27/4/2021 15:00,17.4,319,15,0.0 
27/4/2021 18:00,13.6,330,10,0.0 
27/4/2021 21:00,10.9,322,9,0.0 
28/4/2021 00:00,10.0,314,10,0.0 
28/4/2021 03:00,9.2,303,10,0.0 
28/4/2021 06:00,8.6,291,10,0.0 
28/4/2021 09:00,11.0,293,9,0.0 
28/4/2021 12:00,17.5,298,16,0.0 
28/4/2021 15:00,19.5,301,17,0.0 
28/4/2021 18:00,14.9,313,11,0.0 
28/4/2021 21:00,12.2,304,10,0.0 
29/4/2021 00:00,11.2,308,8,0.0 
29/4/2021 03:00,10.4,314,9,0.0 
29/4/2021 06:00,9.4,316,9,0.0 
29/4/2021 09:00,10.9,323,9,0.0 
29/4/2021 12:00,17.2,338,18,0.0 
29/4/2021 15:00,18.8,341,21,0.0 
29/4/2021 18:00,14.3,358,12,0.0 
29/4/2021 21:00,11.2,6,12,0.0 
