fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,15.8,207,11,2.2 
25/4/2021 03:00,15.4,238,9,0.5 
25/4/2021 06:00,14.3,230,9,0.4 
25/4/2021 09:00,15.9,225,8,0.1 
25/4/2021 12:00,20.0,169,13,0.0 
25/4/2021 15:00,20.7,165,10,0.1 
25/4/2021 18:00,20.1,283,2,0.0 
25/4/2021 21:00,15.3,283,7,0.0 
26/4/2021 00:00,14.3,276,6,0.0 
26/4/2021 03:00,13.4,279,5,0.0 
26/4/2021 06:00,12.1,262,3,0.0 
26/4/2021 09:00,15.3,197,3,0.0 
26/4/2021 12:00,20.7,119,7,0.0 
26/4/2021 15:00,22.5,107,7,0.0 
26/4/2021 18:00,19.8,129,5,0.0 
26/4/2021 21:00,17.8,292,4,0.0 
27/4/2021 00:00,17.6,275,5,0.0 
27/4/2021 03:00,17.0,223,1,0.0 
27/4/2021 06:00,15.9,125,2,0.0 
27/4/2021 09:00,16.4,50,1,0.0 
27/4/2021 12:00,20.1,77,5,0.0 
27/4/2021 15:00,22.5,102,7,0.0 
27/4/2021 18:00,20.2,147,6,0.0 
27/4/2021 21:00,17.0,264,4,0.0 
28/4/2021 00:00,17.9,284,4,0.0 
28/4/2021 03:00,17.3,331,1,0.0 
28/4/2021 06:00,16.1,122,1,0.0 
28/4/2021 09:00,16.5,197,2,0.0 
28/4/2021 12:00,21.4,132,8,0.0 
28/4/2021 15:00,23.2,132,7,0.0 
28/4/2021 18:00,20.1,160,5,0.0 
28/4/2021 21:00,15.7,294,6,0.0 
29/4/2021 00:00,17.0,285,6,0.0 
29/4/2021 03:00,14.2,290,5,0.0 
29/4/2021 06:00,12.6,286,3,0.0 
29/4/2021 09:00,15.8,309,1,0.0 
29/4/2021 12:00,21.6,99,7,0.0 
29/4/2021 15:00,23.6,91,7,0.0 
29/4/2021 18:00,20.6,97,6,0.0 
29/4/2021 21:00,15.3,327,7,0.0 
