fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,21.4,137,3,0.0 
4/4/2021 03:00,18.0,359,3,0.0 
4/4/2021 06:00,19.0,6,7,0.0 
4/4/2021 09:00,20.6,332,7,0.0 
4/4/2021 12:00,25.6,46,18,0.0 
4/4/2021 15:00,27.6,54,22,0.0 
4/4/2021 18:00,26.6,38,25,0.0 
4/4/2021 21:00,22.6,25,12,0.0 
5/4/2021 00:00,21.5,40,11,0.0 
5/4/2021 03:00,20.2,37,9,0.0 
5/4/2021 06:00,20.1,11,7,0.0 
5/4/2021 09:00,21.2,6,8,0.0 
5/4/2021 12:00,27.0,26,11,0.0 
5/4/2021 15:00,29.5,64,14,0.0 
5/4/2021 18:00,27.4,106,16,0.0 
5/4/2021 21:00,23.3,102,18,0.0 
6/4/2021 00:00,21.4,84,14,0.5 
6/4/2021 03:00,20.1,54,4,0.2 
6/4/2021 06:00,19.8,75,6,0.0 
6/4/2021 09:00,20.4,40,9,0.0 
6/4/2021 12:00,23.5,45,10,0.2 
6/4/2021 15:00,27.0,63,18,0.9 
6/4/2021 18:00,26.2,72,20,0.1 
6/4/2021 21:00,23.3,66,14,0.0 
7/4/2021 00:00,23.1,51,16,0.0 
7/4/2021 03:00,20.2,41,14,0.0 
7/4/2021 06:00,18.5,44,11,0.0 
7/4/2021 09:00,22.0,34,19,0.0 
7/4/2021 12:00,26.8,34,28,0.1 
7/4/2021 15:00,27.4,48,26,0.0 
7/4/2021 18:00,28.6,19,22,0.0 
7/4/2021 21:00,25.6,4,21,0.0 
8/4/2021 00:00,24.1,20,16,0.0 
8/4/2021 03:00,23.0,41,17,0.0 
8/4/2021 06:00,21.6,32,20,0.0 
8/4/2021 09:00,22.8,31,23,0.0 
8/4/2021 12:00,27.6,27,30,0.0 
8/4/2021 15:00,28.9,24,21,0.1 
8/4/2021 18:00,28.0,15,21,0.0 
8/4/2021 21:00,26.4,8,17,0.0 
