fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,19.0,342,9,0.0 
4/4/2021 03:00,18.0,246,5,0.0 
4/4/2021 06:00,16.7,250,5,0.0 
4/4/2021 09:00,17.4,221,6,0.0 
4/4/2021 12:00,21.2,85,5,0.0 
4/4/2021 15:00,24.4,74,15,0.0 
4/4/2021 18:00,24.5,68,11,0.0 
4/4/2021 21:00,21.9,57,13,0.0 
5/4/2021 00:00,20.4,19,7,0.0 
5/4/2021 03:00,19.2,270,3,0.0 
5/4/2021 06:00,17.7,265,6,0.0 
5/4/2021 09:00,18.4,249,5,0.0 
5/4/2021 12:00,22.7,87,5,0.0 
5/4/2021 15:00,26.4,71,13,0.0 
5/4/2021 18:00,26.7,62,16,0.0 
5/4/2021 21:00,22.6,35,15,0.0 
6/4/2021 00:00,20.9,302,8,0.0 
6/4/2021 03:00,19.6,302,7,0.0 
6/4/2021 06:00,18.2,256,5,0.0 
6/4/2021 09:00,19.0,248,4,0.0 
6/4/2021 12:00,23.1,83,8,0.0 
6/4/2021 15:00,26.2,68,17,0.0 
6/4/2021 18:00,25.3,63,20,0.0 
6/4/2021 21:00,22.0,30,14,0.0 
7/4/2021 00:00,21.0,22,8,0.0 
7/4/2021 03:00,19.5,346,6,0.0 
7/4/2021 06:00,18.4,329,2,0.0 
7/4/2021 09:00,19.5,31,1,0.0 
7/4/2021 12:00,23.2,85,8,0.0 
7/4/2021 15:00,26.1,69,15,0.0 
7/4/2021 18:00,25.7,69,18,0.0 
7/4/2021 21:00,22.5,54,8,0.0 
8/4/2021 00:00,21.3,326,7,0.0 
8/4/2021 03:00,20.2,268,4,0.0 
8/4/2021 06:00,19.0,268,6,0.0 
8/4/2021 09:00,19.6,238,5,0.0 
8/4/2021 12:00,22.7,88,3,0.0 
8/4/2021 15:00,25.4,79,7,0.0 
8/4/2021 18:00,25.5,70,14,0.0 
8/4/2021 21:00,22.7,56,13,0.0 
