fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,20.1,358,23,0.0 
4/4/2021 03:00,18.6,338,22,0.0 
4/4/2021 06:00,17.2,347,18,0.0 
4/4/2021 09:00,19.0,345,24,0.0 
4/4/2021 12:00,26.7,338,36,0.0 
4/4/2021 15:00,30.1,338,39,0.0 
4/4/2021 18:00,29.3,347,44,0.0 
4/4/2021 21:00,25.0,0,36,0.0 
5/4/2021 00:00,25.3,338,36,0.0 
5/4/2021 03:00,21.6,290,15,0.0 
5/4/2021 06:00,17.8,165,13,0.0 
5/4/2021 09:00,14.7,166,37,0.0 
5/4/2021 12:00,17.2,154,39,0.0 
5/4/2021 15:00,17.5,139,35,0.0 
5/4/2021 18:00,15.3,125,32,0.0 
5/4/2021 21:00,14.4,114,30,0.0 
6/4/2021 00:00,15.1,88,22,0.4 
6/4/2021 03:00,15.7,107,16,1.1 
6/4/2021 06:00,16.5,25,16,10.4 
6/4/2021 09:00,17.4,25,24,3.8 
6/4/2021 12:00,19.9,7,30,5.6 
6/4/2021 15:00,24.0,345,27,5.0 
6/4/2021 18:00,21.7,15,16,1.4 
6/4/2021 21:00,20.8,332,17,0.0 
7/4/2021 00:00,19.0,245,13,0.0 
7/4/2021 03:00,17.8,266,11,0.0 
7/4/2021 06:00,16.7,261,14,0.0 
7/4/2021 09:00,16.8,267,15,0.0 
7/4/2021 12:00,20.9,255,21,0.0 
7/4/2021 15:00,22.9,279,20,0.0 
7/4/2021 18:00,22.8,278,16,0.0 
7/4/2021 21:00,18.8,17,5,0.0 
8/4/2021 00:00,17.9,279,9,0.0 
8/4/2021 03:00,15.9,243,16,0.0 
8/4/2021 06:00,14.0,234,11,0.0 
8/4/2021 09:00,14.8,269,10,0.0 
8/4/2021 12:00,18.8,280,18,0.0 
8/4/2021 15:00,20.6,291,21,0.0 
8/4/2021 18:00,20.8,252,19,0.0 
8/4/2021 21:00,16.0,234,8,0.6 
