fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,10.6,213,11,0.0 
25/4/2021 03:00,12.1,171,13,0.0 
25/4/2021 06:00,12.4,205,10,0.1 
25/4/2021 09:00,12.8,184,10,0.1 
25/4/2021 12:00,16.1,127,11,0.4 
25/4/2021 15:00,14.6,143,8,0.3 
25/4/2021 18:00,14.4,119,7,0.1 
25/4/2021 21:00,12.9,77,9,0.0 
26/4/2021 00:00,12.1,44,9,0.0 
26/4/2021 03:00,9.4,8,9,0.0 
26/4/2021 06:00,8.6,353,10,0.0 
26/4/2021 09:00,10.3,346,10,0.0 
26/4/2021 12:00,16.5,337,11,0.0 
26/4/2021 15:00,18.8,334,11,0.0 
26/4/2021 18:00,15.7,1,11,0.0 
26/4/2021 21:00,12.2,342,13,0.0 
27/4/2021 00:00,10.7,336,14,0.0 
27/4/2021 03:00,9.6,333,13,0.0 
27/4/2021 06:00,8.9,337,14,0.0 
27/4/2021 09:00,11.0,333,17,0.0 
27/4/2021 12:00,18.2,330,20,0.0 
27/4/2021 15:00,20.8,329,20,0.0 
27/4/2021 18:00,17.4,346,19,0.0 
27/4/2021 21:00,13.7,335,18,0.0 
28/4/2021 00:00,12.5,327,18,0.0 
28/4/2021 03:00,12.1,327,21,0.0 
28/4/2021 06:00,11.5,323,17,0.0 
28/4/2021 09:00,13.1,327,16,0.0 
28/4/2021 12:00,21.3,317,16,0.0 
28/4/2021 15:00,24.2,323,17,0.0 
28/4/2021 18:00,19.4,343,17,0.0 
28/4/2021 21:00,15.2,328,18,0.0 
29/4/2021 00:00,12.7,333,15,0.0 
29/4/2021 03:00,11.9,335,17,0.0 
29/4/2021 06:00,11.6,332,19,0.0 
29/4/2021 09:00,12.9,337,20,0.0 
29/4/2021 12:00,19.8,337,27,0.0 
29/4/2021 15:00,21.9,341,28,0.0 
29/4/2021 18:00,17.6,347,24,0.0 
29/4/2021 21:00,14.7,350,22,0.0 
