fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,15.0,297,5,1.1 
25/4/2021 03:00,14.9,278,3,0.7 
25/4/2021 06:00,12.7,102,2,0.0 
25/4/2021 09:00,14.1,59,2,0.0 
25/4/2021 12:00,19.4,101,8,0.0 
25/4/2021 15:00,22.0,98,9,0.0 
25/4/2021 18:00,19.9,83,9,0.0 
25/4/2021 21:00,15.8,35,8,0.0 
26/4/2021 00:00,13.0,38,8,0.0 
26/4/2021 03:00,11.6,359,5,0.0 
26/4/2021 06:00,10.5,292,3,0.0 
26/4/2021 09:00,12.9,221,1,0.0 
26/4/2021 12:00,19.3,114,5,0.0 
26/4/2021 15:00,22.6,110,9,0.0 
26/4/2021 18:00,20.1,89,9,0.0 
26/4/2021 21:00,17.2,69,5,0.0 
27/4/2021 00:00,14.1,59,6,0.0 
27/4/2021 03:00,11.8,0,5,0.0 
27/4/2021 06:00,11.0,295,4,0.0 
27/4/2021 09:00,13.6,246,2,0.0 
27/4/2021 12:00,20.1,121,9,0.0 
27/4/2021 15:00,23.8,126,8,0.0 
27/4/2021 18:00,21.8,95,10,0.0 
27/4/2021 21:00,17.1,49,6,0.0 
28/4/2021 00:00,14.8,24,5,0.0 
28/4/2021 03:00,12.5,314,5,0.0 
28/4/2021 06:00,11.6,276,3,0.0 
28/4/2021 09:00,14.2,270,2,0.0 
28/4/2021 12:00,21.1,113,8,0.0 
28/4/2021 15:00,24.7,104,10,0.0 
28/4/2021 18:00,22.0,88,11,0.0 
28/4/2021 21:00,15.1,20,8,0.0 
29/4/2021 00:00,15.3,44,7,0.0 
29/4/2021 03:00,13.0,357,5,0.0 
29/4/2021 06:00,11.8,288,3,0.0 
29/4/2021 09:00,14.4,1,0,0.0 
29/4/2021 12:00,21.6,99,8,0.0 
29/4/2021 15:00,25.6,86,15,0.0 
29/4/2021 18:00,23.0,77,17,0.0 
29/4/2021 21:00,19.7,44,14,0.0 
