fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,5.5,335,13,0.2 
25/4/2021 03:00,5.2,344,13,0.0 
25/4/2021 06:00,4.6,343,16,0.0 
25/4/2021 09:00,5.1,348,14,0.0 
25/4/2021 12:00,5.6,342,22,0.0 
25/4/2021 15:00,7.5,357,26,0.0 
25/4/2021 18:00,7.1,278,18,0.0 
25/4/2021 21:00,6.9,284,14,0.0 
26/4/2021 00:00,6.2,330,9,0.0 
26/4/2021 03:00,5.7,311,9,0.0 
26/4/2021 06:00,5.6,357,4,0.0 
26/4/2021 09:00,4.9,360,6,0.0 
26/4/2021 12:00,5.8,335,10,0.0 
26/4/2021 15:00,6.4,20,6,0.0 
26/4/2021 18:00,5.6,212,5,0.5 
26/4/2021 21:00,5.4,323,4,1.2 
27/4/2021 00:00,5.2,188,6,0.4 
27/4/2021 03:00,4.9,7,1,1.8 
27/4/2021 06:00,5.4,343,8,0.5 
27/4/2021 09:00,5.2,356,6,0.0 
27/4/2021 12:00,7.1,349,7,0.0 
27/4/2021 15:00,7.8,77,2,0.0 
27/4/2021 18:00,6.4,131,7,0.0 
27/4/2021 21:00,5.8,155,1,0.0 
28/4/2021 00:00,5.4,344,7,0.0 
28/4/2021 03:00,5.3,314,13,0.0 
28/4/2021 06:00,4.9,322,12,0.0 
28/4/2021 09:00,5.1,290,37,0.4 
28/4/2021 12:00,3.7,268,40,0.7 
28/4/2021 15:00,3.9,282,39,0.2 
28/4/2021 18:00,4.2,262,40,1.0 
28/4/2021 21:00,4.4,270,28,0.1 
29/4/2021 00:00,3.9,301,15,0.0 
29/4/2021 03:00,3.1,317,11,0.0 
29/4/2021 06:00,2.6,321,8,0.0 
29/4/2021 09:00,2.6,330,9,0.0 
29/4/2021 12:00,3.7,351,7,0.0 
29/4/2021 15:00,5.0,326,8,0.0 
29/4/2021 18:00,4.5,324,3,0.0 
29/4/2021 21:00,3.5,243,6,0.0 
