fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,12.0,27,4,0.0 
4/4/2021 03:00,11.1,359,5,0.0 
4/4/2021 06:00,10.5,332,3,0.0 
4/4/2021 09:00,11.8,11,3,0.0 
4/4/2021 12:00,15.1,78,13,0.0 
4/4/2021 15:00,15.1,75,13,0.0 
4/4/2021 18:00,15.2,61,10,0.0 
4/4/2021 21:00,13.9,42,4,1.8 
5/4/2021 00:00,13.2,234,5,0.8 
5/4/2021 03:00,12.3,279,2,0.0 
5/4/2021 06:00,11.3,344,3,0.0 
5/4/2021 09:00,12.8,22,1,0.0 
5/4/2021 12:00,16.3,85,11,0.0 
5/4/2021 15:00,17.3,85,14,0.0 
5/4/2021 18:00,16.9,77,9,0.0 
5/4/2021 21:00,14.7,342,6,0.0 
6/4/2021 00:00,13.7,330,5,0.0 
6/4/2021 03:00,13.0,301,6,0.0 
6/4/2021 06:00,12.2,276,3,0.0 
6/4/2021 09:00,14.0,307,2,0.0 
6/4/2021 12:00,16.6,75,12,0.0 
6/4/2021 15:00,17.6,81,15,0.0 
6/4/2021 18:00,17.1,71,9,0.0 
6/4/2021 21:00,15.8,80,7,0.0 
7/4/2021 00:00,14.0,223,1,0.0 
7/4/2021 03:00,13.1,227,1,0.0 
7/4/2021 06:00,12.1,163,2,0.0 
7/4/2021 09:00,13.3,163,3,0.0 
7/4/2021 12:00,15.4,102,11,0.0 
7/4/2021 15:00,15.3,105,10,0.4 
7/4/2021 18:00,14.3,101,8,0.3 
7/4/2021 21:00,13.3,72,7,0.7 
8/4/2021 00:00,12.5,35,5,0.6 
8/4/2021 03:00,11.8,70,3,0.0 
8/4/2021 06:00,11.1,154,4,0.0 
8/4/2021 09:00,11.2,125,8,0.2 
8/4/2021 12:00,11.0,114,11,0.2 
8/4/2021 15:00,11.0,113,10,0.5 
8/4/2021 18:00,10.4,132,9,0.3 
8/4/2021 21:00,10.3,110,7,0.2 
