fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,10.7,177,12,0.0 
25/4/2021 03:00,8.9,187,11,0.0 
25/4/2021 06:00,7.9,195,11,0.0 
25/4/2021 09:00,9.6,186,10,0.0 
25/4/2021 12:00,15.6,179,10,0.0 
25/4/2021 15:00,17.3,178,10,0.0 
25/4/2021 18:00,14.6,167,7,0.0 
25/4/2021 21:00,10.8,144,8,0.0 
26/4/2021 00:00,9.6,104,5,0.0 
26/4/2021 03:00,8.7,35,3,0.0 
26/4/2021 06:00,8.1,32,4,0.0 
26/4/2021 09:00,10.5,20,5,0.0 
26/4/2021 12:00,16.3,14,10,0.0 
26/4/2021 15:00,18.3,14,9,0.0 
26/4/2021 18:00,15.4,25,8,0.0 
26/4/2021 21:00,11.4,24,9,0.0 
27/4/2021 00:00,10.1,8,10,0.0 
27/4/2021 03:00,9.2,354,10,0.0 
27/4/2021 06:00,8.6,2,9,0.0 
27/4/2021 09:00,10.7,10,10,0.0 
27/4/2021 12:00,17.2,2,16,0.0 
27/4/2021 15:00,19.3,360,15,0.0 
27/4/2021 18:00,16.4,20,11,0.0 
27/4/2021 21:00,12.6,23,12,0.0 
28/4/2021 00:00,11.6,13,11,0.0 
28/4/2021 03:00,10.9,4,11,0.0 
28/4/2021 06:00,10.1,4,11,0.0 
28/4/2021 09:00,12.0,12,10,0.0 
28/4/2021 12:00,18.4,7,15,0.0 
28/4/2021 15:00,20.5,6,16,0.0 
28/4/2021 18:00,17.2,22,11,0.0 
28/4/2021 21:00,13.1,26,13,0.0 
29/4/2021 00:00,11.9,14,13,0.0 
29/4/2021 03:00,11.0,9,12,0.0 
29/4/2021 06:00,10.0,19,11,0.0 
29/4/2021 09:00,11.6,26,12,0.0 
29/4/2021 12:00,18.1,14,20,0.0 
29/4/2021 15:00,20.0,17,22,0.0 
29/4/2021 18:00,16.6,29,15,0.0 
29/4/2021 21:00,12.7,25,14,0.0 
