fecha,temp,vientodir,vientokm,precip
26/4/2021 00:00,9.6,33,16,0.0 
26/4/2021 03:00,8.4,26,17,0.0 
26/4/2021 06:00,8.0,28,16,0.0 
26/4/2021 09:00,9.2,29,16,0.0 
26/4/2021 12:00,16.3,17,23,0.0 
26/4/2021 15:00,20.1,0,19,0.0 
26/4/2021 18:00,19.0,33,17,0.0 
26/4/2021 21:00,13.8,32,21,0.0 
27/4/2021 00:00,12.7,18,20,0.0 
27/4/2021 03:00,11.9,7,19,0.0 
27/4/2021 06:00,11.5,4,17,0.0 
27/4/2021 09:00,12.6,359,16,0.0 
27/4/2021 12:00,20.6,348,22,0.0 
27/4/2021 15:00,23.5,344,23,0.0 
27/4/2021 18:00,20.8,17,21,0.0 
27/4/2021 21:00,15.5,25,20,0.0 
28/4/2021 00:00,13.9,13,20,0.0 
28/4/2021 03:00,13.1,1,18,0.0 
28/4/2021 06:00,12.9,348,16,0.0 
28/4/2021 09:00,14.4,341,13,0.0 
28/4/2021 12:00,21.5,336,13,0.0 
28/4/2021 15:00,24.4,345,18,0.0 
28/4/2021 18:00,22.1,6,15,0.0 
28/4/2021 21:00,16.1,17,21,0.0 
29/4/2021 00:00,14.7,19,19,0.0 
29/4/2021 03:00,13.3,8,19,0.0 
29/4/2021 06:00,12.4,7,19,0.0 
29/4/2021 09:00,13.4,10,18,0.0 
29/4/2021 12:00,21.6,344,29,0.0 
29/4/2021 15:00,23.5,9,31,0.0 
29/4/2021 18:00,20.9,23,26,0.0 
29/4/2021 21:00,16.3,27,27,0.0 
30/4/2021 00:00,14.3,20,27,0.0 
30/4/2021 03:00,12.4,11,21,0.0 
30/4/2021 06:00,11.4,17,20,0.0 
30/4/2021 09:00,11.9,13,21,0.0 
30/4/2021 12:00,18.8,4,27,0.0 
30/4/2021 15:00,21.1,6,29,0.0 
30/4/2021 18:00,19.8,25,18,0.0 
30/4/2021 21:00,15.0,42,20,0.0 
