fecha,temp,vientodir,vientokm,precip
13/4/2021 00:00,17.3,6,10,0.0 
13/4/2021 03:00,16.8,348,11,0.0 
13/4/2021 06:00,16.2,356,11,0.0 
13/4/2021 09:00,17.9,349,7,0.0 
13/4/2021 12:00,24.7,355,9,0.0 
13/4/2021 15:00,26.9,336,7,0.0 
13/4/2021 18:00,25.9,318,8,0.0 
13/4/2021 21:00,22.3,353,24,0.0 
14/4/2021 00:00,19.9,343,24,0.0 
14/4/2021 03:00,17.6,340,24,0.0 
14/4/2021 06:00,16.1,344,26,0.0 
14/4/2021 09:00,16.6,348,29,0.0 
14/4/2021 12:00,22.4,339,35,0.0 
14/4/2021 15:00,25.8,336,35,0.0 
14/4/2021 18:00,24.9,335,24,0.0 
14/4/2021 21:00,21.1,1,25,0.0 
15/4/2021 00:00,19.2,342,27,0.0 
15/4/2021 03:00,16.6,333,16,0.0 
15/4/2021 06:00,16.4,211,20,0.0 
15/4/2021 09:00,17.4,181,31,0.0 
15/4/2021 12:00,19.1,174,25,0.0 
15/4/2021 15:00,18.9,167,20,0.0 
15/4/2021 18:00,17.0,143,12,0.0 
15/4/2021 21:00,15.1,131,9,0.0 
16/4/2021 00:00,14.5,40,9,0.0 
16/4/2021 03:00,13.7,4,14,0.0 
16/4/2021 06:00,13.3,346,14,0.0 
16/4/2021 09:00,14.7,279,9,0.0 
16/4/2021 12:00,19.5,187,16,0.0 
16/4/2021 15:00,19.0,173,19,0.0 
16/4/2021 18:00,16.6,153,16,0.0 
16/4/2021 21:00,15.0,136,15,0.0 
17/4/2021 00:00,14.8,110,14,0.0 
17/4/2021 03:00,14.4,78,13,0.0 
17/4/2021 06:00,14.1,62,12,0.0 
17/4/2021 09:00,15.7,32,11,0.0 
17/4/2021 12:00,22.3,23,14,0.0 
17/4/2021 15:00,24.8,1,11,0.0 
17/4/2021 18:00,22.6,34,24,0.0 
17/4/2021 21:00,19.2,25,21,0.0 
