fecha,temp,vientodir,vientokm,precip
26/4/2021 00:00,12.7,44,11,0.0 
26/4/2021 03:00,11.7,38,11,0.0 
26/4/2021 06:00,10.8,26,7,0.0 
26/4/2021 09:00,12.9,3,5,0.0 
26/4/2021 12:00,18.3,305,9,0.0 
26/4/2021 15:00,20.7,285,8,0.0 
26/4/2021 18:00,19.5,251,7,0.0 
26/4/2021 21:00,13.6,56,6,0.0 
27/4/2021 00:00,12.3,40,11,0.0 
27/4/2021 03:00,11.5,41,10,0.0 
27/4/2021 06:00,10.9,38,9,0.0 
27/4/2021 09:00,13.3,10,7,0.0 
27/4/2021 12:00,18.7,308,10,0.0 
27/4/2021 15:00,21.6,292,9,0.0 
27/4/2021 18:00,20.2,197,2,0.0 
27/4/2021 21:00,14.1,48,10,0.0 
28/4/2021 00:00,12.9,37,11,0.0 
28/4/2021 03:00,12.0,44,10,0.0 
28/4/2021 06:00,11.6,45,9,0.0 
28/4/2021 09:00,13.8,26,8,0.0 
28/4/2021 12:00,19.7,302,8,0.0 
28/4/2021 15:00,22.6,270,8,0.0 
28/4/2021 18:00,20.7,240,6,0.0 
28/4/2021 21:00,15.0,49,8,0.0 
29/4/2021 00:00,13.6,32,12,0.0 
29/4/2021 03:00,12.7,34,12,0.0 
29/4/2021 06:00,11.8,35,11,0.0 
29/4/2021 09:00,13.8,17,11,0.0 
29/4/2021 12:00,20.4,334,18,0.0 
29/4/2021 15:00,23.2,351,20,0.0 
29/4/2021 18:00,20.5,351,20,0.0 
29/4/2021 21:00,14.5,21,16,0.0 
30/4/2021 00:00,13.5,24,14,0.0 
30/4/2021 03:00,12.5,40,12,0.0 
30/4/2021 06:00,11.7,21,11,0.0 
30/4/2021 09:00,14.3,353,14,0.0 
30/4/2021 12:00,20.5,356,26,0.0 
30/4/2021 15:00,23.0,3,25,0.0 
30/4/2021 18:00,20.7,8,21,0.0 
30/4/2021 21:00,15.8,15,17,0.0 
