fecha,temp,vientodir,vientokm,precip
13/4/2021 00:00,12.6,299,13,0.0 
13/4/2021 03:00,11.5,293,12,0.0 
13/4/2021 06:00,10.9,292,12,0.0 
13/4/2021 09:00,14.0,289,11,0.0 
13/4/2021 12:00,19.7,300,10,0.0 
13/4/2021 15:00,21.8,312,11,0.0 
13/4/2021 18:00,18.2,334,9,0.0 
13/4/2021 21:00,14.9,344,8,0.0 
14/4/2021 00:00,13.3,349,10,0.0 
14/4/2021 03:00,12.4,346,9,0.0 
14/4/2021 06:00,11.5,348,9,0.0 
14/4/2021 09:00,14.1,355,11,0.0 
14/4/2021 12:00,20.0,3,19,0.0 
14/4/2021 15:00,21.7,2,19,0.0 
14/4/2021 18:00,16.7,32,15,0.0 
14/4/2021 21:00,13.0,30,14,0.0 
15/4/2021 00:00,12.6,12,12,0.0 
15/4/2021 03:00,12.4,341,11,0.0 
15/4/2021 06:00,12.1,335,9,0.0 
15/4/2021 09:00,15.1,337,9,0.0 
15/4/2021 12:00,20.6,332,11,0.0 
15/4/2021 15:00,22.5,313,9,0.0 
15/4/2021 18:00,19.2,320,7,0.0 
15/4/2021 21:00,16.1,326,7,0.0 
16/4/2021 00:00,14.6,330,7,0.0 
16/4/2021 03:00,14.0,289,6,0.0 
16/4/2021 06:00,13.4,312,7,0.0 
16/4/2021 09:00,16.2,262,8,0.0 
16/4/2021 12:00,21.6,229,8,0.0 
16/4/2021 15:00,23.7,183,8,0.0 
16/4/2021 18:00,20.0,128,9,0.0 
16/4/2021 21:00,15.3,97,9,0.0 
17/4/2021 00:00,14.3,96,7,0.0 
17/4/2021 03:00,13.6,145,8,0.0 
17/4/2021 06:00,13.1,112,7,0.0 
17/4/2021 09:00,15.9,81,10,0.0 
17/4/2021 12:00,21.2,59,13,0.0 
17/4/2021 15:00,22.7,56,14,0.0 
17/4/2021 18:00,17.2,64,14,0.0 
17/4/2021 21:00,13.3,62,12,0.0 
