fecha,temp,vientodir,vientokm,precip
26/4/2021 00:00,10.2,271,4,0.0 
26/4/2021 03:00,9.2,251,3,0.0 
26/4/2021 06:00,8.4,287,4,0.0 
26/4/2021 09:00,11.2,341,2,0.0 
26/4/2021 12:00,16.0,72,10,0.0 
26/4/2021 15:00,18.3,72,11,0.0 
26/4/2021 18:00,16.2,62,9,0.0 
26/4/2021 21:00,11.8,319,6,0.0 
27/4/2021 00:00,10.6,301,6,0.0 
27/4/2021 03:00,9.9,308,6,0.0 
27/4/2021 06:00,9.4,306,5,0.0 
27/4/2021 09:00,12.3,345,5,0.0 
27/4/2021 12:00,18.3,42,13,0.0 
27/4/2021 15:00,20.7,55,16,0.0 
27/4/2021 18:00,17.4,55,13,0.0 
27/4/2021 21:00,12.8,338,9,0.0 
28/4/2021 00:00,11.7,316,7,0.0 
28/4/2021 03:00,11.0,309,6,0.0 
28/4/2021 06:00,10.4,308,6,0.0 
28/4/2021 09:00,13.4,342,5,0.0 
28/4/2021 12:00,19.7,46,12,0.0 
28/4/2021 15:00,21.7,69,16,0.0 
28/4/2021 18:00,18.4,61,12,0.0 
28/4/2021 21:00,13.5,340,8,0.0 
29/4/2021 00:00,12.2,318,7,0.0 
29/4/2021 03:00,11.1,309,7,0.0 
29/4/2021 06:00,10.3,321,6,0.0 
29/4/2021 09:00,13.1,335,5,0.0 
29/4/2021 12:00,19.2,48,16,0.0 
29/4/2021 15:00,20.8,49,19,0.0 
29/4/2021 18:00,17.6,55,11,0.0 
29/4/2021 21:00,12.3,345,9,0.0 
30/4/2021 00:00,11.2,331,8,0.0 
30/4/2021 03:00,10.0,342,6,0.0 
30/4/2021 06:00,9.5,329,6,0.0 
30/4/2021 09:00,12.2,4,6,0.0 
30/4/2021 12:00,18.9,40,18,0.0 
30/4/2021 15:00,21.3,42,21,0.0 
30/4/2021 18:00,18.3,46,12,0.0 
30/4/2021 21:00,13.3,345,8,0.0 
