fecha,temp,vientodir,vientokm,precip
13/4/2021 00:00,15.1,297,16,0.0 
13/4/2021 03:00,13.7,299,16,0.0 
13/4/2021 06:00,12.7,332,13,0.0 
13/4/2021 09:00,14.8,7,5,0.0 
13/4/2021 12:00,21.0,77,11,0.0 
13/4/2021 15:00,24.8,73,14,0.0 
13/4/2021 18:00,23.4,86,20,0.0 
13/4/2021 21:00,16.0,60,20,0.0 
14/4/2021 00:00,14.8,350,5,0.0 
14/4/2021 03:00,14.4,337,18,0.0 
14/4/2021 06:00,14.2,337,12,0.0 
14/4/2021 09:00,15.5,23,13,0.0 
14/4/2021 12:00,23.5,351,24,0.0 
14/4/2021 15:00,26.5,23,21,0.0 
14/4/2021 18:00,25.4,338,13,0.0 
14/4/2021 21:00,19.8,292,13,0.0 
15/4/2021 00:00,17.8,306,15,0.0 
15/4/2021 03:00,16.7,324,10,0.0 
15/4/2021 06:00,15.9,323,12,0.0 
15/4/2021 09:00,17.7,316,9,0.0 
15/4/2021 12:00,23.2,112,8,0.0 
15/4/2021 15:00,25.2,112,11,0.0 
15/4/2021 18:00,24.5,110,13,0.0 
15/4/2021 21:00,19.8,85,16,0.0 
16/4/2021 00:00,18.0,40,10,0.0 
16/4/2021 03:00,17.5,329,10,0.0 
16/4/2021 06:00,16.8,317,9,0.0 
16/4/2021 09:00,18.8,292,9,0.0 
16/4/2021 12:00,24.0,226,8,0.0 
16/4/2021 15:00,26.2,169,8,0.0 
16/4/2021 18:00,25.6,126,16,0.0 
16/4/2021 21:00,20.2,73,18,0.0 
17/4/2021 00:00,18.5,58,22,0.0 
17/4/2021 03:00,17.0,65,13,0.0 
17/4/2021 06:00,16.0,110,5,0.0 
17/4/2021 09:00,18.0,123,4,0.0 
17/4/2021 12:00,23.4,75,7,0.0 
17/4/2021 15:00,26.6,35,9,0.0 
17/4/2021 18:00,23.9,74,25,0.0 
17/4/2021 21:00,20.8,59,23,0.0 
