prov,muni,impug
CBA,001,1242
SFE,014,1077
SFE,015,304
CBA,009,294
BUE,050,284
TUC,012,246
TUC,001,241
SFE,013,239
COR,001,212
SAL,001,209
SFE,009,208
BUE,061,195
LRJ,001,186
CHU,015,153
FOR,001,141
CBA,012,133
CBA,020,132
TDF,002,129
FOR,003,128
CBA,004,125
BUE,038,125
CAP,008,123
TUC,005,122
BUE,129,121
TDF,001,121
CHA,001,119
BUE,118,116
CAP,015,115
CAP,007,114
BUE,106,113
BUE,092,113
SJU,006,107
CAP,009,106
CAP,012,103
BUE,003,102
LAP,015,99
COR,002,99
BUE,079,98
MIS,001,97
LAP,002,95
CAP,011,93
BUE,070,92
BUE,062,91
SGO,001,90
BUE,063,89
CBA,003,87
CAP,003,85
BUE,113,85
CBA,016,84
CAP,004,81
ERI,007,81
BUE,052,80
MZA,003,80
BUE,004,79
BUE,053,77
CBA,023,77
TUC,016,77
BUE,080,73
SLU,001,72
COR,007,70
BUE,011,69
CAP,013,69
BUE,016,66
SJU,003,65
BUE,007,65
LAP,022,64
RNO,009,64
ERI,005,64
TUC,004,63
CBA,006,61
BUE,122,61
COR,005,60
CAP,006,60
CAP,001,59
RNO,012,59
TUC,003,57
SAL,007,57
SFE,010,57
CAP,005,56
SGO,006,55
CAP,010,55
SAL,008,55
JUJ,007,54
MZA,004,54
SFE,006,54
BUE,036,53
TUC,011,53
SFE,011,52
CAP,014,51
JUJ,001,50
CBA,021,47
SJU,001,45
CBA,013,45
SFE,004,44
BUE,089,44
SJU,013,44
BUE,107,43
CBA,018,43
BUE,130,42
NEU,001,39
SJU,012,39
BUE,111,39
BUE,105,36
BUE,035,36
LAP,011,35
CAT,001,35
TUC,002,35
LAP,008,34
SFE,008,32
TUC,010,32
CBA,007,31
BUE,132,29
MZA,006,28
SFE,021,28
SJU,009,28
SAL,003,27
CHA,025,27
MZA,002,27
LRJ,014,27
COR,009,26
JUJ,004,26
CHU,002,26
LRJ,006,26
SCR,007,26
BUE,034,25
MZA,009,25
CBA,026,25
COR,003,25
SFE,002,25
BUE,077,24
SAL,021,24
SCR,001,24
TUC,007,23
LRJ,012,23
BUE,006,22
BUE,071,22
SFE,020,22
BUE,087,22
SAL,005,21
CHA,013,21
COR,015,21
SFE,003,21
BUE,076,20
FOR,006,20
COR,008,20
CHU,001,20
TUC,017,20
MIS,016,20
TUC,009,20
TUC,006,20
SLU,004,20
BUE,134,19
JUJ,011,19
SLU,003,19
BUE,009,19
LAP,016,18
BUE,051,18
SAL,011,18
BUE,128,18
TUC,015,17
SGO,027,17
BUE,075,17
JUJ,005,17
MZA,018,16
SAL,004,16
SAL,006,16
FOR,004,16
COR,013,16
CAP,002,15
SJU,010,15
BUE,014,14
LAP,001,14
NEU,002,14
BUE,060,13
MZA,001,13
BUE,029,13
LRJ,004,13
SJU,015,13
COR,012,13
MIS,012,13
LAP,006,13
SGO,009,13
BUE,133,12
JUJ,009,12
BUE,082,12
COR,011,12
BUE,008,12
COR,019,12
LAP,004,12
SGO,005,12
SFE,001,12
BUE,108,12
CHA,015,11
BUE,083,11
COR,024,11
LRJ,016,11
TUC,013,11
BUE,027,11
ERI,013,11
COR,014,11
MIS,003,11
CHA,010,11
LRJ,017,11
BUE,012,11
JUJ,015,11
MIS,013,11
COR,016,10
MIS,014,10
SGO,013,10
JUJ,006,10
BUE,125,10
JUJ,002,9
MIS,008,9
BUE,066,9
SGO,022,9
BUE,020,9
SGO,012,9
BUE,119,8
BUE,085,8
BUE,018,8
BUE,013,8
LAP,019,8
LRJ,005,8
RNO,011,7
NEU,015,7
SJU,017,7
LRJ,007,7
BUE,022,7
NEU,005,7
SLU,002,7
CBA,017,7
ERI,001,7
LRJ,008,7
ERI,010,7
CHA,008,7
SJU,004,6
