MARCA,MODELO,INDUSTRIA,NDESERIE,APROBACION,desde,hasta,TIPO
ANCA,CVDV Versión 2,argentina,CJR0009,DNCI N° 625/08,24/08/2016,23/08/2017, FIJO
ANCA,CVDV Versión 2,argentina,CJR0009,DNCI Nº 625/08,19/11/2015,18/11/2016, FIJO
ANCA,CVDV Versión 2,argentina,CJR0010,DNCI Nº 625/08,05/04/2016,04/04/2017, FIJO
ANCA,CVDV Versión 2,argentina,CJR0010,DNCI Nº 625/08,15/02/2017,14/02/2018, FIJO
ANCA,CVDV Versión 2,argentina,CJR0010,DNCI Nº 625/08,20/03/2015,19/03/2016, FIJO
ANCA,CVDV Versión 2,argentina,CJR0011,DNCI N° 625/08,24/08/2016,23/08/2017, FIJO
ANCA,CVDV Versión 2,argentina,CJR0011,DNCI Nº 625/08,19/11/2015,18/11/2016, FIJO
ANCA,CVDV Versión 2,argentina,CJR0012,DNCI Nº 625/08,01/02/2016,31/01/2017, FIJO
ANCA,CVDV Versión 2,argentina,CJR0012,DNCI Nº 625/08,19/12/2014,18/12/2015, FIJO
ANCA,CVDV Versión 2,argentina,CJR0012,DNCI Nº 625/08,28/12/2016,27/12/2017, FIJO
ANCA,CVDV Versión 2,argentina,CJR0013,DNCI Nº 625/08,04/11/2016,03/11/2017, FIJO
ANCA,CVDV Versión 2,argentina,CJR0013,DNCI Nº 625/08,14/12/2015,13/12/2016, FIJO
ANCA,CVDV Versión 2,argentina,CJR0013,DNCI Nº 625/08,23/01/2015,22/01/2016, FIJO
ANCA,CVDV Versión 2,argentina,CJR0014,DNCI Nº 625/08,04/03/2016,03/03/2017, FIJO
ANCA,CVDV Versión 2,argentina,CJR0014,DNCI Nº 625/08,23/01/2015,22/01/2016, FIJO
ANCA,CVDV Versión 2,argentina,CJR0014,DNCI Nº 625/08,28/12/2016,27/12/2017, FIJO
ANCA,CVDV Versión 2,argentina,CJR0015,DNCI Nº 625/08,08/10/2013,07/10/2014, FIJO
ANCA,CVDV Versión 2,argentina,CJR0015,DNCI Nº 625/08,14/02/2017,13/02/2018, FIJO
ANCA,CVDV Versión 2,argentina,CJR0015,DNCI Nº 625/08,16/09/2014,15/09/2015, FIJO
ANCA,CVDV Versión 2,argentina,CJR0016,DNCI N° 625/08,24/08/2016,23/08/2017, FIJO
ANCA,CVDV Versión 2,argentina,CJR0016,DNCI Nº 625/08,30/11/2015,29/11/2016, FIJO
ANCA,CVDV Versión 2,argentina,CJR0017,DNCI Nº 625/08,09/04/2014,08/04/2015, FIJO
ANCA,CVDV Versión 2,argentina,CJR0018,DNCI Nº 625/08,23/05/2014,22/05/2015, FIJO
ANCA,CVDV Versión 2,argentina,CJR0018,DNCI Nº 625/08,25/11/2015,24/11/2016, FIJO
ANCA,CVDV Versión 2,argentina,CJR0020,DNCI Nº 625/08,05/05/2015,04/05/2016, FIJO
ANCA,CVDV Versión 2,argentina,CJR0020,DNCI Nº 625/08,26/07/2016,25/07/2017, FIJO
ANCA,CVDV Versión 2,argentina,CJR0021,DNCI Nº 625/08,07/11/2015,06/11/2016, FIJO
ANCA,CVDV Versión 2,argentina,CJR0021,DNCI Nº 625/08,09/01/2015,08/01/2016, FIJO
ANCA,CVDV Versión 2,argentina,CJR0021,DNCI Nº 625/08,13/10/2016,12/10/2017, FIJO
ANCA,CVDV Versión 2,argentina,CJR0022,DNCI N° 625/08,15/08/2016,14/08/2017, FIJO
ANCA,CVDV Versión 2,argentina,CJR0022,DNCI Nº 625/08,02/06/2014,01/06/2015, FIJO
ANCA,CVDV Versión 2,argentina,CJR0023,DNCI Nº 625/08,21/08/2015,20/08/2016, FIJO
ANCA,CVDV Versión 2,argentina,CJR0023,DNCI Nº 625/08,22/07/2016,21/07/2017, FIJO
ANCA,CVDV Versión 2,argentina,CJR0024,DNCI Nº 625/08,17/09/2015,16/09/2016, FIJO
ANCA,CVDV Versión 2,argentina,CJR0024,DNCI Nº 625/08,19/07/2016,18/07/2017, FIJO
ANCA,CVDV Versión 2,argentina,CJR0025,DNCI Nº 625/08,17/09/2015,16/09/2016, FIJO
ANCA,CVDV Versión 2,argentina,CJR0025,DNCI Nº 625/08,19/07/2016,18/07/2017, FIJO
ANCA,CVDV Versión 2,argentina,CJR0028,DNCI Nº 625/08,08/03/2013,07/03/2014, FIJO
ANCA,CVDV Versión 2,argentina,CJR0032,DNCI Nº 625/08,13/10/2016,12/10/2017, FIJO
ANCA,CVDV Versión 2,argentina,CJR0032,DNCI Nº 625/08,28/09/2015,27/09/2016, FIJO
ANCA,CVDV Versión 2,argentina,CJR0033,DNCI Nº 625/08,13/10/2016,12/10/2017, FIJO
ANCA,CVDV Versión 2,argentina,CJR0033,DNCI Nº 625/08,28/09/2015,27/09/2016, FIJO
ANCA,CVDV Versión 2,argentina,CJR0034,DNCI Nº 625/08,15/07/2014,14/07/2015, FIJO
ANCA,CVDV Versión 2,argentina,CJR0034,DNCI Nº 625/08,19/08/2015,18/08/2016, FIJO
ANCA,CVDV Versión 2,argentina,CJR0035,DNCI N° 625/08,24/08/2016,23/08/2017, FIJO
ANCA,CVDV Versión 2,argentina,CJR0035,DNCI Nº 625/08,17/11/2015,16/11/2016, FIJO
ANCA,CVDV Versión 2,argentina,CJR0036,DNCI Nº 625/08,04/11/2016,03/11/2017, FIJO
ANCA,CVDV Versión 2,argentina,CJR0036,DNCI Nº 625/08,13/12/2014,12/12/2015, FIJO
ANCA,CVDV Versión 2,argentina,CJR0036,DNCI Nº 625/08,17/12/2015,16/12/2016, FIJO
ANCA,CVDV Versión 2,argentina,CJR0038,DNCI Nº 625/08,14/08/2015,13/08/2016, FIJO
ANCA,CVDV Versión 2,argentina,CJR0038,DNCI Nº 625/08,16/07/2016,15/07/2017, FIJO
ANCA,CVDV Versión 2,argentina,CJR0040,DNCI Nº 625/08,16/07/2016,15/07/2017, FIJO
ANCA,CVDV Versión 2,argentina,CJR0040,DNCI Nº 625/08,20/08/2015,19/08/2016, FIJO
ANCA,CVDV Versión 2,argentina,CJR0042,DNCI N° 625/08,18/08/2016,17/08/2017, FIJO
ANCA,CVDV Versión 2,argentina,CJR0042,DNCI Nº 625/08,02/09/2015,01/09/2016, FIJO
